ticket_id,customer_id,date,category,severity,resolution_time_hours,satisfaction_score,related_order_id,escalated
TKT-01347,C-2051,2026-05-17,service,low,21,4,ORD-2587,False
TKT-01966,C-4057,2026-05-18,quality,medium,25,4,ORD-8275,False
TKT-01404,C-1200,2026-05-18,technical,high,180,1,ORD-7324,True
TKT-00114,C-4247,2026-05-18,delivery,critical,55,1,ORD-1134,True
TKT-01219,C-0986,2026-05-18,billing,high,50,2,ORD-6292,True
TKT-01034,C-4269,2026-05-18,delivery,medium,0,5,ORD-1582,False
TKT-01317,C-0539,2026-05-18,delivery,high,106,1,ORD-4054,True
TKT-01043,C-3134,2026-05-18,technical,high,65,3,ORD-3262,False
TKT-00924,C-3511,2026-05-18,service,critical,192,3,ORD-2375,True
TKT-00126,C-2393,2026-05-18,delivery,low,37,3,ORD-6722,False
TKT-01133,C-0901,2026-05-18,delivery,critical,57,3,ORD-9894,True
TKT-01183,C-1559,2026-05-18,technical,low,4,1,ORD-1836,True
TKT-01243,C-0444,2026-05-18,quality,high,79,2,ORD-5252,True
TKT-01487,C-1178,2026-05-18,billing,medium,29,5,ORD-6625,False
TKT-01891,C-0130,2026-05-18,quality,medium,10,4,ORD-7890,False
TKT-01268,C-0564,2026-05-18,technical,high,94,2,ORD-7348,True
TKT-00087,C-1716,2026-05-18,technical,low,8,4,ORD-8529,False
TKT-01892,C-0096,2026-05-18,quality,high,78,2,ORD-1380,True
TKT-00672,C-2347,2026-05-18,technical,critical,66,1,ORD-6995,True
TKT-00402,C-2269,2026-05-18,service,low,0,3,ORD-5716,False
TKT-01727,C-3905,2026-05-18,technical,low,16,5,ORD-4184,False
TKT-00526,C-3700,2026-05-19,technical,critical,54,2,ORD-6699,True
TKT-01914,C-4554,2026-05-19,quality,low,4,3,ORD-6758,False
TKT-00565,C-3749,2026-05-19,delivery,low,11,3,ORD-6436,False
TKT-01741,C-1060,2026-05-19,service,low,25,4,ORD-7143,False
TKT-00216,C-1064,2026-05-19,technical,medium,6,4,ORD-9724,False
TKT-00356,C-2395,2026-05-19,technical,medium,8,3,ORD-3690,False
TKT-00666,C-4084,2026-05-19,service,medium,20,3,ORD-5421,False
TKT-00750,C-2868,2026-05-19,service,high,81,2,ORD-8443,True
TKT-01659,C-2977,2026-05-19,service,critical,78,1,ORD-1446,True
TKT-01778,C-3529,2026-05-19,billing,low,30,4,ORD-7622,False
TKT-00026,C-4351,2026-05-19,technical,high,69,2,ORD-9102,True
TKT-01470,C-4269,2026-05-19,service,high,76,3,ORD-1137,False
TKT-00787,C-0769,2026-05-19,service,low,3,4,ORD-1678,False
TKT-01529,C-1295,2026-05-19,billing,critical,94,1,ORD-1454,True
TKT-00064,C-0567,2026-05-19,delivery,critical,78,2,ORD-2759,True
TKT-01456,C-2649,2026-05-19,quality,medium,39,3,ORD-5867,False
TKT-01125,C-4955,2026-05-19,quality,low,7,4,ORD-1187,False
TKT-01119,C-0273,2026-05-19,quality,critical,109,1,ORD-9106,True
TKT-00320,C-2304,2026-05-20,delivery,low,0,3,ORD-4814,False
TKT-00241,C-2411,2026-05-20,quality,medium,18,2,ORD-8259,True
TKT-01001,C-2730,2026-05-20,delivery,medium,4,4,ORD-1077,False
TKT-01082,C-0699,2026-05-20,quality,high,95,2,ORD-5854,True
TKT-00617,C-1347,2026-05-20,billing,critical,55,1,ORD-9802,True
TKT-01375,C-3420,2026-05-20,technical,low,26,3,ORD-6719,False
TKT-00818,C-4594,2026-05-20,technical,medium,19,3,ORD-4183,False
TKT-00731,C-2828,2026-05-20,technical,high,74,1,ORD-2110,True
TKT-00601,C-2367,2026-05-20,billing,critical,85,1,ORD-6946,True
TKT-01547,C-2239,2026-05-20,billing,low,30,5,ORD-1386,False
TKT-01655,C-2419,2026-05-20,technical,medium,7,4,ORD-4146,False
TKT-00776,C-2278,2026-05-20,billing,critical,141,1,ORD-5872,True
TKT-01455,C-4263,2026-05-20,service,critical,82,1,ORD-2071,True
TKT-01051,C-2166,2026-05-20,technical,low,12,2,ORD-5751,True
TKT-01052,C-0460,2026-05-20,quality,critical,85,2,ORD-3976,True
TKT-00926,C-3194,2026-05-20,delivery,critical,85,1,ORD-7543,True
TKT-01069,C-4713,2026-05-20,delivery,low,41,3,ORD-8683,False
TKT-01167,C-2319,2026-05-20,service,medium,2,1,ORD-1833,True
TKT-01960,C-3336,2026-05-20,quality,medium,5,3,ORD-3795,False
TKT-00455,C-4742,2026-05-21,quality,medium,25,5,ORD-5249,False
TKT-01681,C-2111,2026-05-21,billing,high,73,2,ORD-4252,True
TKT-01922,C-3843,2026-05-21,service,critical,71,2,ORD-5410,True
TKT-00542,C-1135,2026-05-21,delivery,low,3,3,ORD-9770,False
TKT-01551,C-4942,2026-05-21,service,critical,65,1,ORD-1842,True
TKT-00576,C-3479,2026-05-21,delivery,critical,51,3,ORD-2340,True
TKT-01679,C-2643,2026-05-21,quality,medium,8,3,ORD-6758,False
TKT-01544,C-1641,2026-05-21,service,high,53,1,ORD-3514,True
TKT-00822,C-1673,2026-05-21,service,low,35,4,ORD-5337,False
TKT-00514,C-1927,2026-05-21,service,medium,3,3,ORD-4127,False
TKT-01410,C-1124,2026-05-21,service,medium,57,1,ORD-8772,True
TKT-00452,C-0458,2026-05-21,technical,medium,55,1,ORD-4225,True
TKT-00687,C-2851,2026-05-21,delivery,low,11,4,ORD-7276,False
TKT-01962,C-3282,2026-05-21,service,high,51,3,ORD-3411,False
TKT-01845,C-2691,2026-05-21,service,critical,54,2,ORD-6368,True
TKT-01614,C-1337,2026-05-22,billing,critical,62,2,ORD-3218,True
TKT-00979,C-0784,2026-05-22,billing,medium,2,2,ORD-9726,True
TKT-01948,C-0397,2026-05-22,quality,critical,59,1,ORD-9293,True
TKT-01783,C-1591,2026-05-22,quality,high,55,3,ORD-9737,False
TKT-01851,C-4499,2026-05-22,technical,high,70,1,ORD-9792,True
TKT-00829,C-2537,2026-05-22,service,critical,55,1,ORD-5488,True
TKT-00013,C-3131,2026-05-22,quality,medium,28,3,ORD-8849,False
TKT-00960,C-3759,2026-05-22,quality,high,51,1,ORD-5362,True
TKT-00761,C-2316,2026-05-22,service,high,48,2,ORD-1492,True
TKT-00034,C-0294,2026-05-22,billing,medium,10,5,ORD-3065,False
TKT-01210,C-0853,2026-05-22,service,low,53,2,ORD-7681,True
TKT-00767,C-2891,2026-05-22,quality,critical,97,2,ORD-8316,True
TKT-01486,C-3520,2026-05-22,technical,medium,31,3,ORD-8464,False
TKT-00159,C-3391,2026-05-22,quality,high,53,1,ORD-8771,True
TKT-00529,C-0329,2026-05-22,billing,high,78,3,ORD-6584,False
TKT-01014,C-1613,2026-05-22,service,low,20,4,ORD-9232,False
TKT-01311,C-2035,2026-05-22,technical,medium,7,2,ORD-9500,True
TKT-01009,C-1625,2026-05-22,billing,critical,63,2,ORD-1884,True
TKT-00384,C-3246,2026-05-22,quality,critical,65,2,ORD-3396,True
TKT-00615,C-0056,2026-05-22,delivery,high,60,2,ORD-2100,True
TKT-01161,C-0576,2026-05-22,delivery,low,13,5,ORD-3399,False
TKT-00805,C-3767,2026-05-22,billing,high,51,2,ORD-5852,True
TKT-01809,C-4025,2026-05-23,billing,high,133,1,ORD-4609,True
TKT-01570,C-1419,2026-05-23,technical,low,26,2,ORD-4367,True
TKT-01117,C-1593,2026-05-23,technical,critical,133,3,ORD-2087,True
TKT-00380,C-3955,2026-05-23,billing,low,55,1,ORD-7840,True
TKT-01294,C-0702,2026-05-23,billing,low,62,1,ORD-7204,True
TKT-01856,C-3970,2026-05-23,quality,high,50,2,ORD-3295,True
TKT-01521,C-0339,2026-05-23,delivery,low,133,1,ORD-1056,True
TKT-00549,C-0536,2026-05-23,technical,low,40,5,ORD-3611,False
TKT-00446,C-2806,2026-05-23,quality,high,69,2,ORD-4420,True
TKT-00711,C-0773,2026-05-23,quality,medium,58,2,ORD-1687,True
TKT-00937,C-2979,2026-05-23,quality,low,33,3,ORD-3094,False
TKT-00649,C-2120,2026-05-23,technical,critical,50,1,ORD-7667,True
TKT-01398,C-4134,2026-05-23,technical,low,11,3,ORD-8026,False
TKT-00132,C-2050,2026-05-23,billing,medium,25,4,ORD-6769,False
TKT-01241,C-1787,2026-05-23,billing,low,118,1,ORD-9392,True
TKT-00025,C-0094,2026-05-23,delivery,medium,18,5,ORD-1055,False
TKT-00357,C-1106,2026-05-23,billing,medium,15,5,ORD-1463,False
TKT-01945,C-1489,2026-05-23,billing,critical,52,1,ORD-1045,True
TKT-00998,C-1485,2026-05-23,service,critical,49,2,ORD-1015,True
TKT-01062,C-0299,2026-05-23,service,high,107,2,ORD-4946,True
TKT-00849,C-0041,2026-05-23,quality,high,50,2,ORD-9710,True
TKT-00335,C-2485,2026-05-23,delivery,critical,91,2,ORD-5941,True
TKT-00154,C-4160,2026-05-23,billing,critical,169,1,ORD-2918,True
TKT-00580,C-2204,2026-05-23,billing,critical,57,2,ORD-4926,True
TKT-00022,C-0033,2026-05-24,service,medium,0,4,ORD-7956,False
TKT-01233,C-2849,2026-05-24,technical,low,36,3,ORD-8379,False
TKT-00718,C-3994,2026-05-24,delivery,critical,82,2,ORD-4623,True
TKT-01643,C-3693,2026-05-24,quality,critical,48,2,ORD-9269,True
TKT-00235,C-4871,2026-05-24,delivery,medium,86,1,ORD-7484,True
TKT-00729,C-4629,2026-05-24,delivery,medium,56,3,ORD-1789,False
TKT-00752,C-0692,2026-05-24,quality,low,22,4,ORD-1501,False
TKT-01879,C-2901,2026-05-24,service,high,62,1,ORD-1612,True
TKT-00188,C-2514,2026-05-24,delivery,high,63,2,ORD-5585,True
TKT-01448,C-1345,2026-05-24,billing,high,69,1,ORD-9082,True
TKT-01790,C-2676,2026-05-24,quality,critical,51,1,ORD-5109,True
TKT-01516,C-3299,2026-05-24,technical,medium,53,1,ORD-2229,True
TKT-01391,C-1169,2026-05-24,quality,high,55,2,ORD-6585,True
TKT-01223,C-0449,2026-05-24,billing,low,23,3,ORD-3619,False
TKT-00374,C-0805,2026-05-24,billing,medium,7,3,ORD-8806,False
TKT-00007,C-0647,2026-05-24,delivery,critical,81,2,ORD-4447,True
TKT-01235,C-1315,2026-05-24,delivery,medium,4,5,ORD-1812,False
TKT-00971,C-2731,2026-05-24,technical,critical,60,2,ORD-7322,True
TKT-01842,C-0257,2026-05-24,quality,high,51,2,ORD-4044,True
TKT-01689,C-4006,2026-05-24,service,critical,51,2,ORD-6036,True
TKT-00679,C-0756,2026-05-24,quality,low,7,4,ORD-2258,False
TKT-01897,C-3566,2026-05-24,service,medium,14,4,ORD-7330,False
TKT-00050,C-2705,2026-05-24,technical,medium,18,4,ORD-4667,False
TKT-00428,C-2617,2026-05-24,technical,critical,117,1,ORD-4594,True
TKT-00771,C-4132,2026-05-24,service,critical,49,1,ORD-8704,True
TKT-01939,C-2780,2026-05-24,service,high,51,3,ORD-4560,False
TKT-01771,C-4559,2026-05-25,quality,high,71,2,ORD-6333,True
TKT-00628,C-2928,2026-05-25,technical,critical,99,1,ORD-8243,True
TKT-00495,C-3518,2026-05-25,billing,low,6,4,ORD-2775,False
TKT-00877,C-4394,2026-05-25,technical,low,2,3,ORD-4051,False
TKT-01590,C-4037,2026-05-25,technical,critical,54,2,ORD-5328,True
TKT-01260,C-0083,2026-05-25,technical,high,100,2,ORD-9989,True
TKT-00583,C-4932,2026-05-25,technical,high,56,2,ORD-7557,True
TKT-01996,C-3241,2026-05-25,technical,medium,18,4,ORD-4724,False
TKT-01386,C-3864,2026-05-25,delivery,high,70,1,ORD-6208,True
TKT-00662,C-4181,2026-05-25,service,critical,63,1,ORD-5389,True
TKT-00214,C-0832,2026-05-25,delivery,critical,59,3,ORD-3190,True
TKT-01258,C-2060,2026-05-25,technical,medium,18,3,ORD-6149,False
TKT-01202,C-2008,2026-05-25,service,high,75,1,ORD-3583,True
TKT-01555,C-3653,2026-05-25,service,low,1,3,ORD-8712,False
TKT-01599,C-4769,2026-05-25,technical,high,102,2,ORD-8352,True
TKT-01153,C-3567,2026-05-25,technical,critical,48,2,ORD-6925,True
TKT-01562,C-4320,2026-05-25,technical,low,10,4,ORD-1817,False
TKT-01595,C-0042,2026-05-25,quality,high,89,1,ORD-7563,True
TKT-01714,C-0956,2026-05-26,service,critical,78,1,ORD-3709,True
TKT-01867,C-4112,2026-05-26,technical,critical,118,2,ORD-2664,True
TKT-00544,C-4055,2026-05-26,service,high,74,1,ORD-2609,True
TKT-00538,C-4613,2026-05-26,service,medium,96,2,ORD-3650,True
TKT-00183,C-1569,2026-05-26,billing,low,33,4,ORD-2344,False
TKT-00496,C-1587,2026-05-26,quality,low,3,4,ORD-5000,False
TKT-01522,C-4636,2026-05-26,technical,medium,20,3,ORD-4837,False
TKT-00060,C-4523,2026-05-26,quality,high,62,2,ORD-5426,True
TKT-00147,C-1957,2026-05-26,technical,high,48,2,ORD-3321,True
TKT-01674,C-2564,2026-05-26,service,high,81,2,ORD-4087,True
TKT-00082,C-0796,2026-05-26,billing,high,83,2,ORD-1741,True
TKT-00685,C-4303,2026-05-26,billing,high,65,1,ORD-6042,True
TKT-01006,C-2606,2026-05-26,service,low,20,2,ORD-4141,True
TKT-00112,C-3105,2026-05-26,service,critical,132,1,ORD-3444,True
TKT-00557,C-4016,2026-05-26,service,high,49,2,ORD-2705,True
TKT-01087,C-2335,2026-05-26,delivery,medium,13,2,ORD-8695,True
TKT-01564,C-4194,2026-05-26,service,critical,90,2,ORD-2118,True
TKT-01320,C-1494,2026-05-26,technical,medium,40,4,ORD-2754,False
TKT-01364,C-0656,2026-05-26,service,low,23,4,ORD-3351,False
TKT-01831,C-2166,2026-05-26,billing,critical,59,1,ORD-2095,True
TKT-00722,C-2480,2026-05-26,quality,medium,5,4,ORD-2875,False
TKT-00899,C-3449,2026-05-26,service,low,33,3,ORD-1718,False
TKT-01332,C-2606,2026-05-26,quality,medium,52,1,ORD-7348,True
TKT-00368,C-4010,2026-05-26,technical,high,62,1,ORD-4934,True
TKT-01607,C-4350,2026-05-27,billing,high,71,2,ORD-6404,True
TKT-01312,C-4075,2026-05-27,service,medium,7,4,ORD-8161,False
TKT-01525,C-3944,2026-05-27,billing,medium,91,2,ORD-8119,True
TKT-00754,C-4264,2026-05-27,delivery,high,56,3,ORD-3120,False
TKT-00661,C-4945,2026-05-27,billing,high,50,2,ORD-8642,True
TKT-01474,C-2642,2026-05-27,delivery,medium,13,3,ORD-4066,False
TKT-00080,C-0594,2026-05-27,service,medium,8,4,ORD-9411,False
TKT-00550,C-1477,2026-05-27,quality,critical,58,1,ORD-2585,True
TKT-01302,C-3096,2026-05-27,billing,medium,16,3,ORD-1315,False
TKT-00692,C-1797,2026-05-27,delivery,critical,52,1,ORD-7608,True
TKT-01189,C-0649,2026-05-27,technical,high,48,2,ORD-7343,True
TKT-00423,C-0600,2026-05-27,service,critical,128,2,ORD-8318,True
TKT-01536,C-4281,2026-05-27,service,high,56,1,ORD-5992,True
TKT-00342,C-3356,2026-05-27,service,high,100,1,ORD-2805,True
TKT-01710,C-2461,2026-05-27,billing,high,125,1,ORD-2768,True
TKT-01228,C-3371,2026-05-27,delivery,high,80,3,ORD-8793,False
TKT-01757,C-4007,2026-05-27,technical,high,52,1,ORD-6837,True
TKT-01097,C-3932,2026-05-27,service,critical,52,2,ORD-3274,True
TKT-01416,C-0844,2026-05-27,service,medium,4,4,ORD-5868,False
TKT-00959,C-3788,2026-05-27,technical,high,52,2,ORD-2978,True
TKT-01580,C-1137,2026-05-27,quality,critical,90,1,ORD-1090,True
TKT-00042,C-3801,2026-05-28,billing,low,3,3,ORD-9766,False
TKT-00209,C-3110,2026-05-28,delivery,high,48,2,ORD-6053,True
TKT-00020,C-3290,2026-05-28,delivery,medium,15,4,ORD-5864,False
TKT-01402,C-4385,2026-05-28,service,medium,114,1,ORD-3073,True
TKT-00835,C-0998,2026-05-28,technical,critical,60,1,ORD-2820,True
TKT-00664,C-1695,2026-05-28,billing,low,37,3,ORD-1226,False
TKT-01393,C-3499,2026-05-28,technical,critical,70,1,ORD-9857,True
TKT-00099,C-3860,2026-05-28,technical,medium,25,3,ORD-2513,False
TKT-01786,C-2984,2026-05-28,delivery,low,32,4,ORD-7322,False
TKT-01709,C-3858,2026-05-28,delivery,high,63,1,ORD-6767,True
TKT-00361,C-3615,2026-05-28,billing,medium,21,3,ORD-4954,False
TKT-01042,C-2440,2026-05-28,billing,critical,48,1,ORD-8010,True
TKT-01688,C-2219,2026-05-28,quality,critical,63,1,ORD-4668,True
TKT-00120,C-3776,2026-05-28,service,critical,63,1,ORD-2888,True
TKT-01378,C-0095,2026-05-28,billing,medium,13,5,ORD-5222,False
TKT-00670,C-2056,2026-05-28,delivery,medium,40,3,ORD-5957,False
TKT-01699,C-0406,2026-05-29,quality,medium,9,2,ORD-4620,True
TKT-00781,C-4859,2026-05-29,service,medium,63,1,ORD-2674,True
TKT-00932,C-2588,2026-05-29,delivery,high,53,1,ORD-2684,True
TKT-01428,C-3775,2026-05-29,billing,critical,67,2,ORD-8157,True
TKT-01274,C-4668,2026-05-29,billing,high,106,2,ORD-7000,True
TKT-01834,C-4518,2026-05-29,billing,low,49,2,ORD-8386,True
TKT-01833,C-3309,2026-05-29,delivery,low,102,1,ORD-3531,True
TKT-00905,C-4586,2026-05-29,technical,medium,6,3,ORD-7314,False
TKT-00590,C-4007,2026-05-29,service,critical,64,1,ORD-7551,True
TKT-00710,C-2483,2026-05-29,delivery,medium,9,2,ORD-4919,True
TKT-00083,C-2722,2026-05-29,billing,low,11,1,ORD-2062,True
TKT-01173,C-3873,2026-05-29,service,low,0,5,ORD-8237,False
TKT-00307,C-1160,2026-05-29,technical,medium,89,1,ORD-5190,True
TKT-00057,C-2982,2026-05-29,quality,high,69,1,ORD-2824,True
TKT-01871,C-4824,2026-05-29,quality,medium,78,2,ORD-5731,True
TKT-00010,C-4442,2026-05-29,technical,high,61,1,ORD-4833,True
TKT-01182,C-4420,2026-05-30,service,medium,2,5,ORD-1342,False
TKT-00561,C-2556,2026-05-30,service,low,3,4,ORD-8794,False
TKT-00177,C-4470,2026-05-30,delivery,high,52,2,ORD-5269,True
TKT-00655,C-1566,2026-05-30,technical,high,59,2,ORD-7959,True
TKT-01505,C-2394,2026-05-30,billing,high,57,2,ORD-6662,True
TKT-01749,C-1054,2026-05-30,delivery,high,86,1,ORD-2902,True
TKT-00642,C-3545,2026-05-30,billing,medium,17,3,ORD-4354,False
TKT-00524,C-3240,2026-05-30,quality,high,153,2,ORD-9910,True
TKT-00635,C-4433,2026-05-30,billing,critical,51,3,ORD-3691,True
TKT-01698,C-2126,2026-05-30,quality,low,5,4,ORD-3122,False
TKT-01566,C-0376,2026-05-30,technical,critical,82,1,ORD-1586,True
TKT-01603,C-5000,2026-05-30,billing,high,89,1,ORD-3940,True
TKT-00281,C-4823,2026-05-30,service,low,27,4,ORD-1293,False
TKT-00596,C-1484,2026-05-30,delivery,low,6,3,ORD-7305,False
TKT-00283,C-4268,2026-05-30,delivery,low,19,4,ORD-7828,False
TKT-00032,C-1791,2026-05-30,billing,critical,150,1,ORD-6452,True
TKT-01163,C-2088,2026-05-30,quality,critical,105,2,ORD-9587,True
TKT-01675,C-0933,2026-05-30,technical,critical,48,1,ORD-1686,True
TKT-00461,C-0107,2026-05-30,delivery,medium,42,2,ORD-3918,True
TKT-01080,C-4283,2026-05-30,delivery,high,68,2,ORD-1317,True
TKT-01435,C-0070,2026-05-30,quality,high,52,2,ORD-9497,True
TKT-01648,C-4371,2026-05-30,delivery,high,83,1,ORD-1080,True
TKT-01496,C-1928,2026-05-30,delivery,critical,63,1,ORD-1801,True
TKT-01593,C-0895,2026-05-30,service,low,2,3,ORD-8787,False
TKT-01139,C-1318,2026-05-30,technical,high,87,1,ORD-3771,True
TKT-00556,C-2299,2026-05-30,technical,high,130,1,ORD-5562,True
TKT-01591,C-0952,2026-05-31,billing,high,51,1,ORD-4240,True
TKT-01574,C-3822,2026-05-31,technical,medium,31,4,ORD-1228,False
TKT-00465,C-0748,2026-05-31,billing,low,46,2,ORD-6582,True
TKT-00166,C-3532,2026-05-31,service,high,54,1,ORD-6911,True
TKT-00072,C-4674,2026-05-31,quality,low,73,2,ORD-8765,True
TKT-01730,C-1919,2026-05-31,quality,medium,60,1,ORD-7551,True
TKT-01929,C-0149,2026-05-31,service,low,1,3,ORD-5249,False
TKT-00065,C-4962,2026-05-31,technical,high,77,2,ORD-2354,True
TKT-01748,C-3177,2026-05-31,service,medium,9,5,ORD-1695,False
TKT-01206,C-0560,2026-05-31,quality,high,61,1,ORD-5949,True
TKT-00819,C-0507,2026-05-31,service,medium,44,2,ORD-2260,True
TKT-00775,C-0113,2026-05-31,technical,high,53,3,ORD-9048,False
TKT-01444,C-3159,2026-05-31,billing,high,62,1,ORD-9684,True
TKT-01835,C-3862,2026-05-31,billing,medium,2,4,ORD-4940,False
TKT-01631,C-4587,2026-05-31,delivery,critical,65,1,ORD-1272,True
TKT-00212,C-0838,2026-05-31,quality,high,130,3,ORD-3521,False
TKT-00763,C-1617,2026-05-31,technical,critical,65,1,ORD-9839,True
TKT-00500,C-4588,2026-05-31,technical,high,63,3,ORD-3230,False
TKT-01199,C-1524,2026-05-31,service,critical,82,2,ORD-1114,True
