date,daily_revenue,daily_expenses,accounts_receivable,accounts_payable,cash_balance,credit_utilization,payment_defaults_count,outstanding_invoices,operating_margin
2026-06-12,535789.4444444445,392141.77777777775,2016451,1439563,10242533.965099642,0.52,2,481,0.2681
2026-06-13,523731.3478260869,411782.82608695654,1868710,1450582,10344482.486838773,0.4,2,600,0.2138
2026-06-14,424977.0,396158.0,2014905,1469602,10348301.486838773,0.61,5,485,0.0678
2026-06-15,362404.5714285714,408449.71428571426,1993268,1332947,10277256.34398163,0.75,5,521,-0.1271
2026-06-16,366303.71428571426,395804.14285714284,1908186,1415353,10192755.9154102,0.87,11,531,-0.0805
2026-06-17,458783.0,359722.0,2077767,1514864,10286816.9154102,0.37,1,461,0.2159
2026-06-18,526722.0,404745.0,2000895,1562487,10408793.9154102,0.61,0,538,0.2316
2026-06-19,517126.0,441158.0,1776493,1581549,10474761.9154102,0.42,2,468,0.1469
2026-06-20,376176.85714285716,382737.5714285714,2059332,1389386,10438201.201124486,0.71,6,468,-0.0174
2026-06-21,380917.0,393378.0,2082295,1345802,10415740.201124486,0.52,2,554,-0.0327
2026-06-22,436591.0,401859.0,1906093,1401628,10445472.201124486,0.54,1,497,0.0796
2026-06-23,518056.0,423358.0,2048328,1542672,10530170.201124486,0.43,2,474,0.1828
2026-06-24,494111.0,418332.0,1949965,1512979,10570949.201124486,0.5,7,507,0.1534
2026-06-25,308143.6666666667,399875.6666666667,1993046,1514114,10434217.201124486,0.89,9,465,-0.2977
2026-06-26,526934.9655172414,382136.5172413793,1938490,1449005,10554015.649400348,0.55,5,468,0.2748
2026-06-27,404128.0,397874.0,2025774,1485643,10505269.649400348,0.89,11,533,0.0155
2026-06-28,377621.0,393144.0,1830580,1519753,10484746.649400348,0.56,1,437,-0.0411
2026-06-29,467084.2727272727,394423.36363636365,2105652,1549682,10552407.558491256,0.38,1,498,0.1556
2026-06-30,463990.0,409378.0,1992146,1460884,10602019.558491256,0.51,1,449,0.1177
2026-07-01,451906.3333333333,400785.3333333333,2065335,1489810,10638140.558491256,0.68,3,503,0.1131
2026-07-02,468417.0,404627.0,1830483,1586629,10691930.558491256,0.41,2,428,0.1362
2026-07-03,485885.0,376822.0,2157383,1571949,10800993.558491256,0.48,0,579,0.2245
2026-07-04,421065.02127659577,401768.4893617021,2204517,1639263,10775290.09040615,0.88,9,537,0.0458
2026-07-05,392045.1111111111,403788.44444444444,2142047,1520909,10733546.757072816,0.74,6,526,-0.03
2026-07-06,410215.3333333333,420154.3333333333,1884663,1381707,10668607.757072816,0.9,11,468,-0.0242
2026-07-07,412647.94871794875,412515.0256410256,2077879,1626774,10628740.68014974,0.73,8,491,0.0003
2026-07-08,351563.0689655172,401040.9655172414,2004294,1390687,10534262.783598015,0.87,9,575,-0.1407
2026-07-09,533389.4193548387,397108.29032258067,1841302,1315782,10665543.912630273,0.35,1,568,0.2555
2026-07-10,497626.6129032258,421049.1935483871,1905226,1380360,10742121.331985112,0.34,0,506,0.1539
2026-07-11,413467.0,395831.0,2011116,1561830,10734757.331985112,0.55,5,410,0.0427
2026-07-12,450344.7272727273,418888.63636363635,1935141,1473194,10741213.422894204,0.7,5,509,0.0698
2026-07-13,403321.46153846156,423203.76923076925,2026853,1529984,10676331.115201896,0.9,9,561,-0.0493
2026-07-14,482147.07692307694,399425.46153846156,2148220,1506554,10759052.730586512,0.26,0,552,0.1716
2026-07-15,465964.3846153846,399378.3076923077,1947645,1393023,10825638.807509588,0.42,0,566,0.1429
2026-07-16,448221.3333333333,412876.3333333333,2047415,1669814,10820983.807509588,0.9,8,583,0.0789
2026-07-17,493029.9629629629,385177.51851851854,2042659,1506806,10928836.251954032,0.42,0,490,0.2188
2026-07-18,477354.29032258067,394561.3548387097,2029698,1601938,11006629.187437903,0.32,1,533,0.1734
2026-07-19,345661.14285714284,396237.4285714286,1906478,1346291,10941052.901723618,0.53,3,463,-0.1463
2026-07-20,421814.7619047619,395594.61904761905,2113954,1528451,10917273.044580761,0.9,10,480,0.0622
2026-07-21,488146.7272727273,424915.63636363635,1986047,1369540,10970504.135489853,0.41,2,520,0.1295
2026-07-22,409203.6666666667,427976.6666666667,1973574,1380084,10926731.135489853,0.7,5,519,-0.0459
2026-07-23,430367.0,409111.0,1974901,1701425,10892987.135489853,0.9,11,468,0.0494
2026-07-24,443294.89473684214,390957.05263157893,1942961,1311734,10930324.977595117,0.5,3,516,0.1181
2026-07-25,402094.0,397570.0,1886864,1551595,10859848.977595117,0.9,15,452,0.0113
2026-07-26,443861.70588235295,424364.64705882355,2124343,1624655,10819346.036418647,0.9,12,452,0.0439
2026-07-27,409642.3870967742,398107.8064516129,2201214,1496977,10735880.617063807,0.9,19,491,0.0282
2026-07-28,332750.4482758621,416533.275862069,2013744,1459973,10627097.7894776,0.48,5,562,-0.2518
2026-07-29,368663.9090909091,402066.54545454547,2087429,1527465,10583695.153113963,0.63,2,405,-0.0906
2026-07-30,370111.71428571426,415282.14285714284,2107755,1439023,10508524.724542534,0.63,6,496,-0.122
2026-07-31,425870.07692307694,412478.46153846156,1929585,1576433,10476916.33992715,0.8,9,560,0.0314
2026-08-01,487189.84210526315,379586.5789473684,2060164,1624791,10574519.603085045,0.53,2,504,0.2209
2026-08-02,465926.0,456375.0,1992573,1618473,10514070.603085045,0.9,14,418,0.0205
2026-08-03,442747.0,400758.0,2175246,1519534,10531059.603085045,0.73,5,458,0.0948
2026-08-04,443901.4705882353,453904.76470588235,2010765,1411779,10471056.308967398,0.9,10,439,-0.0225
2026-08-05,459501.8695652174,426919.5652173913,2018483,1404194,10468638.613315225,0.65,7,525,0.0709
2026-08-06,448936.22222222225,404964.8888888889,1921117,1496322,10422609.946648559,0.9,18,524,0.0979
2026-08-07,354192.0588235294,361709.4705882353,1978930,1405193,10385092.534883853,0.71,6,531,-0.0212
2026-08-08,538701.0303030303,437066.48484848486,1991181,1399565,10481727.080338398,0.49,1,442,0.1887
2026-08-09,450522.8205128205,397943.58974358975,2050138,1546664,10534306.311107628,0.54,0,484,0.1167
2026-08-10,417208.4347826087,417833.7826086957,1920425,1570490,10448680.96328154,0.9,17,506,-0.0015
2026-08-11,427147.8461538461,402761.07692307694,2227798,1434847,10438067.73251231,0.67,7,568,0.0571
2026-08-12,406060.24242424243,379365.8787878788,1926322,1469830,10409762.096148673,0.9,11,541,0.0657
2026-08-13,409405.91891891893,402492.54054054053,2057969,1479081,10361675.474527052,0.9,11,484,0.0169
2026-08-14,386780.18518518517,401348.4074074074,1973901,1506203,10332107.25230483,0.34,3,477,-0.0377
2026-08-15,459397.4117647059,446812.29411764705,1963858,1433080,10289692.369951889,0.82,11,435,0.0274
2026-08-16,488880.86206896557,413615.0689655172,1974882,1321864,10364958.163055338,0.56,0,572,0.154
2026-08-17,459412.8823529412,398788.0588235294,1904112,1550343,10415582.98658475,0.6,2,462,0.132
2026-08-18,402542.75675675675,399946.6216216216,2128537,1544538,10408179.121719884,0.57,2,513,0.0064
2026-08-19,339008.6956521739,434755.652173913,1930512,1587796,10297432.165198145,0.62,3,464,-0.2824
2026-08-20,475069.48484848486,438944.75757575757,2183576,1594489,10313556.892470872,0.78,4,420,0.076
2026-08-21,373609.44444444444,387493.77777777775,1930961,1568579,10294672.559137538,0.56,1,517,-0.0372
