inventory_id,product_id,supplier_id,date,stock_level,daily_demand,reorder_point,lead_time_days,days_of_coverage
INV-000068,P-018,S-031,2026-05-15,457,91,273,9,5.03
INV-000069,P-019,S-015,2026-05-15,448,112,336,8,4.0
INV-000070,P-020,S-048,2026-05-15,444,63,189,13,7.06
INV-000071,P-021,S-042,2026-05-15,448,88,264,14,5.1
INV-000072,P-022,S-042,2026-05-15,503,105,315,14,4.79
INV-000073,P-023,S-005,2026-05-15,495,90,270,7,5.5
INV-000074,P-024,S-004,2026-05-15,340,117,351,5,2.91
INV-000075,P-025,S-020,2026-05-15,534,118,354,10,4.53
INV-000076,P-026,S-032,2026-05-15,501,116,348,13,4.32
INV-000077,P-027,S-019,2026-05-15,447,111,333,10,4.03
INV-000078,P-028,S-019,2026-05-15,386,112,336,10,3.45
INV-000079,P-029,S-029,2026-05-15,390,76,228,10,5.14
INV-000080,P-030,S-021,2026-05-15,499,107,321,12,4.67
INV-000081,P-031,S-010,2026-05-15,444,61,183,5,7.29
INV-000082,P-032,S-045,2026-05-15,418,109,327,6,3.84
INV-000083,P-033,S-042,2026-05-15,441,90,270,14,4.9
INV-000084,P-034,S-028,2026-05-15,459,104,312,3,4.42
INV-000085,P-035,S-018,2026-05-15,535,113,339,9,4.74
INV-000086,P-036,S-039,2026-05-15,444,97,291,12,4.58
INV-000087,P-037,S-040,2026-05-15,407,76,228,5,5.36
INV-000088,P-038,S-050,2026-05-15,510,97,291,14,5.26
INV-000089,P-039,S-032,2026-05-15,499,89,267,13,5.61
INV-000090,P-040,S-033,2026-05-15,437,47,141,5,9.3
INV-000091,P-041,S-013,2026-05-15,458,149,447,4,3.08
INV-000092,P-042,S-045,2026-05-15,585,46,138,6,12.73
INV-000093,P-043,S-025,2026-05-15,466,93,279,7,5.02
INV-000094,P-044,S-045,2026-05-15,508,136,408,6,3.74
INV-000095,P-045,S-033,2026-05-15,521,84,252,5,6.21
INV-000096,P-046,S-021,2026-05-15,459,89,267,12,5.16
INV-000097,P-047,S-037,2026-05-15,486,69,207,8,7.05
INV-000098,P-048,S-023,2026-05-15,514,78,234,12,6.6
INV-000099,P-049,S-043,2026-05-15,567,98,294,9,5.79
INV-000100,P-050,S-012,2026-05-15,489,106,318,10,4.62
INV-000101,P-001,S-050,2026-05-16,512,112,336,14,4.57
INV-000102,P-002,S-044,2026-05-16,498,137,411,4,3.64
INV-000103,P-003,S-034,2026-05-16,469,102,306,3,4.6
INV-000104,P-004,S-029,2026-05-16,473,100,300,10,4.74
INV-000105,P-005,S-028,2026-05-16,549,70,210,3,7.85
INV-000106,P-006,S-001,2026-05-16,512,102,306,9,5.02
INV-000107,P-007,S-015,2026-05-16,424,108,324,8,3.93
INV-000108,P-008,S-038,2026-05-16,488,96,288,15,5.09
INV-000109,P-009,S-009,2026-05-16,452,99,297,12,4.57
INV-000110,P-010,S-037,2026-05-16,475,128,384,8,3.72
INV-000111,P-011,S-038,2026-05-16,527,68,204,15,7.75
INV-000112,P-012,S-004,2026-05-16,502,86,258,5,5.84
INV-000113,P-013,S-010,2026-05-16,470,103,309,5,4.56
INV-000114,P-014,S-004,2026-05-16,484,91,273,5,5.32
INV-000115,P-015,S-031,2026-05-16,533,101,303,9,5.28
INV-000116,P-016,S-007,2026-05-16,516,102,306,3,5.06
INV-000117,P-017,S-010,2026-05-16,484,98,294,5,4.94
INV-000118,P-018,S-045,2026-05-16,474,121,363,6,3.92
INV-000119,P-019,S-027,2026-05-16,516,81,243,3,6.38
INV-000120,P-020,S-044,2026-05-16,393,98,294,4,4.01
INV-000121,P-021,S-003,2026-05-16,479,113,339,10,4.25
INV-000122,P-022,S-001,2026-05-16,448,116,348,9,3.87
INV-000123,P-023,S-039,2026-05-16,436,85,255,12,5.14
INV-000124,P-024,S-011,2026-05-16,503,94,282,15,5.36
INV-000125,P-025,S-047,2026-05-16,509,105,315,12,4.85
INV-000126,P-026,S-027,2026-05-16,454,108,324,3,4.2
INV-000127,P-027,S-014,2026-05-16,490,70,210,8,7.01
INV-000128,P-028,S-011,2026-05-16,476,76,228,15,6.27
INV-000129,P-029,S-035,2026-05-16,471,103,309,11,4.57
INV-000130,P-030,S-018,2026-05-16,485,107,321,9,4.53
INV-000131,P-031,S-021,2026-05-16,460,104,312,12,4.43
INV-000132,P-032,S-030,2026-05-16,433,74,222,7,5.86
INV-000133,P-033,S-042,2026-05-16,544,73,219,14,7.45
INV-000134,P-034,S-015,2026-05-16,465,108,324,8,4.31
INV-000135,P-035,S-010,2026-05-16,465,60,180,5,7.76
INV-000136,P-036,S-008,2026-05-16,466,87,261,15,5.36
INV-000137,P-037,S-009,2026-05-16,405,123,369,12,3.3
INV-000138,P-038,S-028,2026-05-16,541,106,318,3,5.11
INV-000139,P-039,S-037,2026-05-16,549,94,282,8,5.85
INV-000140,P-040,S-015,2026-05-16,368,128,384,8,2.88
INV-000141,P-041,S-049,2026-05-16,583,102,306,13,5.72
INV-000142,P-042,S-032,2026-05-16,560,111,333,13,5.05
INV-000143,P-043,S-043,2026-05-16,493,102,306,9,4.84
INV-000144,P-044,S-025,2026-05-16,398,115,345,7,3.47
INV-000145,P-045,S-023,2026-05-16,444,129,387,12,3.45
INV-000146,P-046,S-020,2026-05-16,430,147,441,10,2.93
INV-000147,P-047,S-009,2026-05-16,455,108,324,12,4.21
INV-000148,P-048,S-011,2026-05-16,433,85,255,15,5.1
INV-000149,P-049,S-019,2026-05-16,464,130,390,10,3.57
INV-000150,P-050,S-017,2026-05-16,506,98,294,14,5.16
INV-000151,P-001,S-042,2026-05-17,390,91,273,14,4.29
INV-000152,P-002,S-044,2026-05-17,482,79,237,4,6.1
INV-000153,P-003,S-011,2026-05-17,365,128,384,15,2.86
INV-000154,P-004,S-014,2026-05-17,313,96,288,8,3.26
INV-000155,P-005,S-017,2026-05-17,527,125,375,14,4.22
INV-000156,P-006,S-021,2026-05-17,415,89,267,12,4.67
INV-000157,P-007,S-038,2026-05-17,369,121,363,15,3.05
INV-000158,P-008,S-020,2026-05-17,417,121,363,10,3.45
INV-000159,P-009,S-042,2026-05-17,399,110,330,14,3.63
INV-000160,P-010,S-045,2026-05-17,443,124,372,6,3.58
INV-000161,P-011,S-017,2026-05-17,554,106,318,14,5.23
INV-000162,P-012,S-048,2026-05-17,489,95,285,13,5.15
INV-000163,P-013,S-014,2026-05-17,472,111,333,8,4.26
INV-000164,P-014,S-044,2026-05-17,446,84,252,4,5.32
INV-000165,P-015,S-032,2026-05-17,396,85,255,13,4.66
INV-000166,P-016,S-037,2026-05-17,390,141,423,8,2.77
INV-000167,P-017,S-050,2026-05-17,460,109,327,14,4.23
INV-000168,P-018,S-024,2026-05-17,485,66,198,10,7.36
INV-000169,P-019,S-014,2026-05-17,445,59,177,8,7.56
INV-000170,P-020,S-004,2026-05-17,460,116,348,5,3.97
INV-000171,P-021,S-022,2026-05-17,443,107,321,6,4.15
INV-000172,P-022,S-031,2026-05-17,430,103,309,9,4.18
INV-000173,P-023,S-026,2026-05-17,393,98,294,15,4.01
INV-000174,P-024,S-050,2026-05-17,453,88,264,14,5.16
INV-000175,P-025,S-034,2026-05-17,450,123,369,3,3.66
INV-000176,P-026,S-007,2026-05-17,408,108,324,3,3.78
INV-000177,P-027,S-005,2026-05-17,566,112,336,7,5.06
INV-000178,P-028,S-033,2026-05-17,399,106,318,5,3.77
INV-000179,P-029,S-049,2026-05-17,551,120,360,13,4.6
INV-000180,P-030,S-002,2026-05-17,472,56,168,13,8.43
INV-000181,P-031,S-015,2026-05-17,357,139,417,8,2.57
INV-000182,P-032,S-049,2026-05-17,507,91,273,13,5.58
INV-000183,P-033,S-006,2026-05-17,444,88,264,12,5.06
INV-000184,P-034,S-023,2026-05-17,317,125,375,12,2.54
INV-000185,P-035,S-048,2026-05-17,544,123,369,13,4.42
INV-000186,P-036,S-037,2026-05-17,435,111,333,8,3.93
INV-000187,P-037,S-046,2026-05-17,377,89,267,6,4.24
INV-000188,P-038,S-007,2026-05-17,394,81,243,3,4.87
INV-000189,P-039,S-029,2026-05-17,453,128,384,10,3.55
INV-000190,P-040,S-031,2026-05-17,456,34,102,9,13.43
INV-000191,P-041,S-011,2026-05-17,413,131,393,15,3.16
INV-000192,P-042,S-016,2026-05-17,455,87,261,8,5.23
INV-000193,P-043,S-033,2026-05-17,428,87,261,5,4.92
INV-000194,P-044,S-014,2026-05-17,546,81,243,8,6.74
INV-000195,P-045,S-018,2026-05-17,456,102,306,9,4.47
INV-000196,P-046,S-020,2026-05-17,411,109,327,10,3.78
INV-000197,P-047,S-038,2026-05-17,529,108,324,15,4.9
INV-000198,P-048,S-028,2026-05-17,465,79,237,3,5.89
INV-000199,P-049,S-050,2026-05-17,397,95,285,14,4.18
INV-000200,P-050,S-044,2026-05-17,422,83,249,4,5.09
INV-000201,P-001,S-042,2026-05-18,403,101,303,14,3.99
INV-000202,P-002,S-036,2026-05-18,467,104,312,10,4.49
INV-000203,P-003,S-034,2026-05-18,480,96,288,3,5.0
INV-000204,P-004,S-034,2026-05-18,422,70,210,3,6.04
INV-000205,P-005,S-001,2026-05-18,368,120,360,9,3.07
INV-000206,P-006,S-022,2026-05-18,557,69,207,6,8.07
INV-000207,P-007,S-006,2026-05-18,449,115,345,12,3.91
INV-000208,P-008,S-021,2026-05-18,393,99,297,12,3.98
INV-000209,P-009,S-010,2026-05-18,467,68,204,5,6.88
INV-000210,P-010,S-018,2026-05-18,419,67,201,9,6.27
INV-000211,P-011,S-031,2026-05-18,447,112,336,9,3.99
INV-000212,P-012,S-005,2026-05-18,481,95,285,7,5.07
INV-000213,P-013,S-028,2026-05-18,512,91,273,3,5.64
INV-000214,P-014,S-018,2026-05-18,502,107,321,9,4.7
INV-000215,P-015,S-011,2026-05-18,417,60,180,15,6.96
INV-000216,P-016,S-028,2026-05-18,431,95,285,3,4.54
INV-000217,P-017,S-024,2026-05-18,432,113,339,10,3.83
INV-000218,P-018,S-027,2026-05-18,477,93,279,3,5.13
INV-000219,P-019,S-026,2026-05-18,453,96,288,15,4.72
INV-000220,P-020,S-014,2026-05-18,523,110,330,8,4.76
INV-000221,P-021,S-037,2026-05-18,343,97,291,8,3.54
INV-000222,P-022,S-008,2026-05-18,476,55,165,15,8.66
INV-000223,P-023,S-015,2026-05-18,508,92,276,8,5.53
INV-000224,P-024,S-041,2026-05-18,548,111,333,6,4.94
INV-000225,P-025,S-048,2026-05-18,439,133,399,13,3.3
INV-000226,P-026,S-009,2026-05-18,500,106,318,12,4.72
INV-000227,P-027,S-007,2026-05-18,471,114,342,3,4.13
INV-000228,P-028,S-025,2026-05-18,445,65,195,7,6.86
INV-000229,P-029,S-044,2026-05-18,464,100,300,4,4.64
INV-000230,P-030,S-004,2026-05-18,453,97,291,5,4.68
INV-000231,P-031,S-006,2026-05-18,496,110,330,12,4.52
INV-000232,P-032,S-007,2026-05-18,468,84,252,3,5.58
INV-000233,P-033,S-011,2026-05-18,442,135,405,15,3.28
INV-000234,P-034,S-011,2026-05-18,413,130,390,15,3.18
INV-000235,P-035,S-033,2026-05-18,504,105,315,5,4.81
INV-000236,P-036,S-007,2026-05-18,449,62,186,3,7.25
INV-000237,P-037,S-008,2026-05-18,485,114,342,15,4.26
INV-000238,P-038,S-048,2026-05-18,467,80,240,13,5.84
INV-000239,P-039,S-048,2026-05-18,423,122,366,13,3.47
INV-000240,P-040,S-025,2026-05-18,407,110,330,7,3.71
INV-000241,P-041,S-012,2026-05-18,428,90,270,10,4.76
INV-000242,P-042,S-019,2026-05-18,543,95,285,10,5.72
INV-000243,P-043,S-021,2026-05-18,531,77,231,12,6.9
INV-000244,P-044,S-047,2026-05-18,524,101,303,12,5.19
INV-000245,P-045,S-036,2026-05-18,437,82,246,10,5.33
INV-000246,P-046,S-038,2026-05-18,502,75,225,15,6.71
INV-000247,P-047,S-019,2026-05-18,538,103,309,10,5.23
INV-000248,P-048,S-004,2026-05-18,414,113,339,5,3.67
INV-000249,P-049,S-040,2026-05-18,464,112,336,5,4.14
INV-000250,P-050,S-011,2026-05-18,469,81,243,15,5.8
INV-000251,P-001,S-007,2026-05-19,481,131,393,3,3.67
INV-000252,P-002,S-048,2026-05-19,396,113,339,13,3.5
INV-000253,P-003,S-013,2026-05-19,548,60,180,4,9.14
INV-000254,P-004,S-006,2026-05-19,469,90,270,12,5.22
INV-000255,P-005,S-034,2026-05-19,514,105,315,3,4.9
INV-000256,P-006,S-018,2026-05-19,435,128,384,9,3.4
INV-000257,P-007,S-027,2026-05-19,476,78,234,3,6.11
INV-000258,P-008,S-025,2026-05-19,548,86,258,7,6.38
INV-000259,P-009,S-022,2026-05-19,397,92,276,6,4.32
INV-000260,P-010,S-014,2026-05-19,572,127,381,8,4.51
INV-000261,P-011,S-029,2026-05-19,513,126,378,10,4.08
INV-000262,P-012,S-010,2026-05-19,500,114,342,5,4.39
INV-000263,P-013,S-045,2026-05-19,560,80,240,6,7.0
INV-000264,P-014,S-009,2026-05-19,522,70,210,12,7.47
INV-000265,P-015,S-009,2026-05-19,503,105,315,12,4.79
INV-000266,P-016,S-043,2026-05-19,505,102,306,9,4.96
INV-000267,P-017,S-011,2026-05-19,565,60,180,15,9.42
INV-000268,P-018,S-033,2026-05-19,441,90,270,5,4.91
INV-000269,P-019,S-014,2026-05-19,482,84,252,8,5.75
INV-000270,P-020,S-011,2026-05-19,563,107,321,15,5.27
INV-000271,P-021,S-020,2026-05-19,507,117,351,10,4.34
INV-000272,P-022,S-015,2026-05-19,439,116,348,8,3.79
INV-000273,P-023,S-014,2026-05-19,389,142,426,8,2.74
INV-000274,P-024,S-022,2026-05-19,483,77,231,6,6.28
INV-000275,P-025,S-027,2026-05-19,527,83,249,3,6.36
INV-000276,P-026,S-040,2026-05-19,585,122,366,5,4.8
INV-000277,P-027,S-038,2026-05-19,416,72,216,15,5.79
INV-000278,P-028,S-007,2026-05-19,536,70,210,3,7.67
INV-000279,P-029,S-006,2026-05-19,489,104,312,12,4.71
INV-000280,P-030,S-003,2026-05-19,416,108,324,10,3.86
INV-000281,P-031,S-029,2026-05-19,538,95,285,10,5.67
INV-000282,P-032,S-046,2026-05-19,437,109,327,6,4.02
INV-000283,P-033,S-007,2026-05-19,394,132,396,3,2.98
INV-000284,P-034,S-037,2026-05-19,520,84,252,8,6.2
INV-000285,P-035,S-002,2026-05-19,455,116,348,13,3.93
INV-000286,P-036,S-026,2026-05-19,441,74,222,15,5.96
INV-000287,P-037,S-029,2026-05-19,450,114,342,10,3.95
INV-000288,P-038,S-003,2026-05-19,479,97,291,10,4.94
INV-000289,P-039,S-001,2026-05-19,495,99,297,9,5.0
INV-000290,P-040,S-029,2026-05-19,482,69,207,10,6.99
INV-000291,P-041,S-007,2026-05-19,502,107,321,3,4.7
INV-000292,P-042,S-003,2026-05-19,469,112,336,10,4.19
INV-000293,P-043,S-041,2026-05-19,386,141,423,6,2.74
INV-000294,P-044,S-034,2026-05-19,384,97,291,3,3.96
INV-000295,P-045,S-019,2026-05-19,457,103,309,10,4.44
INV-000296,P-046,S-008,2026-05-19,444,92,276,15,4.83
INV-000297,P-047,S-033,2026-05-19,522,108,324,5,4.84
INV-000298,P-048,S-033,2026-05-19,477,101,303,5,4.73
INV-000299,P-049,S-023,2026-05-19,512,104,312,12,4.93
INV-000300,P-050,S-009,2026-05-19,458,104,312,12,4.41
INV-000301,P-001,S-018,2026-05-20,397,112,336,9,3.55
INV-000302,P-002,S-049,2026-05-20,424,71,213,13,5.97
INV-000303,P-003,S-038,2026-05-20,365,107,321,15,3.42
INV-000304,P-004,S-033,2026-05-20,468,85,255,5,5.51
INV-000305,P-005,S-025,2026-05-20,402,76,228,7,5.3
INV-000306,P-006,S-012,2026-05-20,467,121,363,10,3.87
INV-000307,P-007,S-009,2026-05-20,457,91,273,12,5.02
INV-000308,P-008,S-050,2026-05-20,499,113,339,14,4.42
INV-000309,P-009,S-045,2026-05-20,566,102,306,6,5.55
INV-000310,P-010,S-034,2026-05-20,331,100,300,3,3.31
INV-000311,P-011,S-021,2026-05-20,396,66,198,12,6.0
INV-000312,P-012,S-009,2026-05-20,425,52,156,12,8.18
INV-000313,P-013,S-037,2026-05-20,456,72,216,8,6.34
INV-000314,P-014,S-025,2026-05-20,479,91,273,7,5.27
INV-000315,P-015,S-049,2026-05-20,468,86,258,13,5.45
INV-000316,P-016,S-027,2026-05-20,515,63,189,3,8.18
INV-000317,P-017,S-045,2026-05-20,441,80,240,6,5.52
INV-000318,P-018,S-043,2026-05-20,442,88,264,9,5.02
INV-000319,P-019,S-009,2026-05-20,347,95,285,12,3.66
INV-000320,P-020,S-041,2026-05-20,502,64,192,6,7.85
INV-000321,P-021,S-026,2026-05-20,462,74,222,15,6.24
INV-000322,P-022,S-027,2026-05-20,476,84,252,3,5.67
INV-000323,P-023,S-047,2026-05-20,404,103,309,12,3.93
INV-000324,P-024,S-041,2026-05-20,394,127,381,6,3.11
INV-000325,P-025,S-002,2026-05-20,381,79,237,13,4.83
INV-000326,P-026,S-040,2026-05-20,393,105,315,5,3.74
INV-000327,P-027,S-025,2026-05-20,460,106,318,7,4.34
INV-000328,P-028,S-044,2026-05-20,472,75,225,4,6.3
INV-000329,P-029,S-015,2026-05-20,428,106,318,8,4.04
INV-000330,P-030,S-028,2026-05-20,400,134,402,3,2.99
INV-000331,P-031,S-017,2026-05-20,473,85,255,14,5.56
INV-000332,P-032,S-023,2026-05-20,362,135,405,12,2.69
INV-000333,P-033,S-014,2026-05-20,374,61,183,8,6.14
INV-000334,P-034,S-041,2026-05-20,485,83,249,6,5.85
INV-000335,P-035,S-025,2026-05-20,500,105,315,7,4.76
INV-000336,P-036,S-018,2026-05-20,345,119,357,9,2.9
INV-000337,P-037,S-012,2026-05-20,347,125,375,10,2.78
INV-000338,P-038,S-006,2026-05-20,460,111,333,12,4.15
INV-000339,P-039,S-001,2026-05-20,410,88,264,9,4.66
INV-000340,P-040,S-022,2026-05-20,405,105,315,6,3.86
INV-000341,P-041,S-028,2026-05-20,370,99,297,3,3.75
INV-000342,P-042,S-048,2026-05-20,363,137,411,13,2.65
INV-000343,P-043,S-012,2026-05-20,461,118,354,10,3.91
INV-000344,P-044,S-046,2026-05-20,376,72,216,6,5.23
INV-000345,P-045,S-044,2026-05-20,494,99,297,4,5.0
INV-000346,P-046,S-045,2026-05-20,474,113,339,6,4.2
INV-000347,P-047,S-049,2026-05-20,419,124,372,13,3.39
INV-000348,P-048,S-033,2026-05-20,403,124,372,5,3.26
INV-000349,P-049,S-006,2026-05-20,403,137,411,12,2.94
INV-000350,P-050,S-017,2026-05-20,523,106,318,14,4.94
INV-000351,P-001,S-020,2026-05-21,474,127,381,10,3.74
INV-000352,P-002,S-036,2026-05-21,380,84,252,10,4.53
INV-000353,P-003,S-008,2026-05-21,462,89,267,15,5.19
INV-000354,P-004,S-046,2026-05-21,580,80,240,6,7.25
INV-000355,P-005,S-010,2026-05-21,426,83,249,5,5.14
INV-000356,P-006,S-030,2026-05-21,490,98,294,7,5.0
INV-000357,P-007,S-034,2026-05-21,381,94,282,3,4.06
INV-000358,P-008,S-026,2026-05-21,433,85,255,15,5.1
INV-000359,P-009,S-017,2026-05-21,462,69,207,14,6.7
INV-000360,P-010,S-045,2026-05-21,481,73,219,6,6.6
INV-000361,P-011,S-010,2026-05-21,517,114,342,5,4.54
INV-000362,P-012,S-042,2026-05-21,436,84,252,14,5.2
INV-000363,P-013,S-021,2026-05-21,426,52,156,12,8.2
INV-000364,P-014,S-008,2026-05-21,381,106,318,15,3.6
INV-000365,P-015,S-007,2026-05-21,421,127,381,3,3.32
INV-000366,P-016,S-024,2026-05-21,402,93,279,10,4.32
INV-000367,P-017,S-033,2026-05-21,400,89,267,5,4.5
INV-000368,P-018,S-026,2026-05-21,468,52,156,15,9.01
INV-000369,P-019,S-007,2026-05-21,494,114,342,3,4.34
INV-000370,P-020,S-016,2026-05-21,535,72,216,8,7.44
INV-000371,P-021,S-001,2026-05-21,547,78,234,9,7.02
INV-000372,P-022,S-041,2026-05-21,456,79,237,6,5.78
INV-000373,P-023,S-017,2026-05-21,423,118,354,14,3.59
INV-000374,P-024,S-036,2026-05-21,427,34,102,10,12.57
INV-000375,P-025,S-022,2026-05-21,502,98,294,6,5.13
INV-000376,P-026,S-002,2026-05-21,448,75,225,13,5.98
INV-000377,P-027,S-036,2026-05-21,578,103,309,10,5.62
INV-000378,P-028,S-001,2026-05-21,383,119,357,9,3.22
INV-000379,P-029,S-045,2026-05-21,421,94,282,6,4.48
INV-000380,P-030,S-039,2026-05-21,416,87,261,12,4.78
INV-000381,P-031,S-019,2026-05-21,529,115,345,10,4.61
INV-000382,P-032,S-010,2026-05-21,462,95,285,5,4.87
INV-000383,P-033,S-010,2026-05-21,476,85,255,5,5.6
INV-000384,P-034,S-023,2026-05-21,518,83,249,12,6.25
INV-000385,P-035,S-026,2026-05-21,503,81,243,15,6.22
INV-000386,P-036,S-025,2026-05-21,473,77,231,7,6.15
INV-000387,P-037,S-026,2026-05-21,396,137,411,15,2.9
INV-000388,P-038,S-027,2026-05-21,462,96,288,3,4.82
INV-000389,P-039,S-048,2026-05-21,451,104,312,13,4.35
INV-000390,P-040,S-010,2026-05-21,396,117,351,5,3.39
INV-000391,P-041,S-020,2026-05-21,437,116,348,10,3.77
INV-000392,P-042,S-011,2026-05-21,488,89,267,15,5.49
INV-000393,P-043,S-033,2026-05-21,511,86,258,5,5.95
INV-000394,P-044,S-017,2026-05-21,396,82,246,14,4.83
INV-000395,P-045,S-019,2026-05-21,543,98,294,10,5.54
INV-000396,P-046,S-021,2026-05-21,478,84,252,12,5.7
INV-000397,P-047,S-030,2026-05-21,398,95,285,7,4.2
INV-000398,P-048,S-003,2026-05-21,421,108,324,10,3.91
INV-000399,P-049,S-018,2026-05-21,385,133,399,9,2.9
INV-000400,P-050,S-003,2026-05-21,401,71,213,10,5.65
INV-000401,P-001,S-023,2026-05-22,405,129,387,12,3.15
INV-000402,P-002,S-028,2026-05-22,398,134,402,3,2.97
INV-000403,P-003,S-030,2026-05-22,569,94,282,7,6.06
INV-000404,P-004,S-006,2026-05-22,492,93,279,12,5.3
INV-000405,P-005,S-024,2026-05-22,401,104,312,10,3.86
INV-000406,P-006,S-005,2026-05-22,460,117,351,7,3.93
INV-000407,P-007,S-027,2026-05-22,407,71,213,3,5.74
INV-000408,P-008,S-015,2026-05-22,459,95,285,8,4.83
INV-000409,P-009,S-003,2026-05-22,482,103,309,10,4.68
INV-000410,P-010,S-023,2026-05-22,541,93,279,12,5.83
INV-000411,P-011,S-022,2026-05-22,416,76,228,6,5.48
INV-000412,P-012,S-015,2026-05-22,453,86,258,8,5.28
INV-000413,P-013,S-036,2026-05-22,456,119,357,10,3.84
INV-000414,P-014,S-007,2026-05-22,416,84,252,3,4.95
INV-000415,P-015,S-017,2026-05-22,475,100,300,14,4.76
INV-000416,P-016,S-020,2026-05-22,499,93,279,10,5.37
INV-000417,P-017,S-042,2026-05-22,552,88,264,14,6.27
INV-000418,P-018,S-041,2026-05-22,493,109,327,6,4.53
INV-000419,P-019,S-029,2026-05-22,482,113,339,10,4.27
INV-000420,P-020,S-017,2026-05-22,534,107,321,14,5.0
INV-000421,P-021,S-037,2026-05-22,419,121,363,8,3.46
