payment_id,customer_id,month,bill_amount,payment_amount,payment_status,payment_delay_days,credit_limit,balance,default_flag
PAY-000062,C-2855,2023-01,478.28,234.71,late_2mo,67,5000,5578.09,1
PAY-000063,C-0543,2023-09,2678.8,0.0,late_3mo,90,1000,9020.04,1
PAY-000064,C-4251,2023-06,752.92,339.04,late_1mo,33,5000,4018.57,0
PAY-000065,C-3521,2023-09,2997.39,2656.47,late_2mo,21,10000,2924.24,0
PAY-000066,C-0836,2023-04,416.7,78.44,late_3mo,69,5000,5659.21,0
PAY-000067,C-0099,2023-11,682.07,0.0,late_1mo,90,1000,9708.27,1
PAY-000068,C-4528,2023-09,1105.26,874.58,late_3mo,53,1000,907.27,0
PAY-000069,C-0090,2023-11,2372.72,1438.29,on_time,23,10000,4221.95,0
PAY-000070,C-0586,2023-06,1474.86,0.0,late_1mo,83,1000,8755.55,1
PAY-000071,C-0125,2023-09,1478.17,0.0,late_1mo,90,1000,3945.06,1
PAY-000072,C-1108,2023-12,1539.61,0.0,on_time,82,1000,7311.98,1
PAY-000073,C-4643,2023-12,2482.47,0.0,late_2mo,90,1000,9452.05,1
PAY-000074,C-4556,2023-01,2829.4,1871.19,on_time,35,10000,8463.93,0
PAY-000075,C-0324,2023-04,2437.39,0.0,late_2mo,75,5000,8785.15,0
PAY-000076,C-1460,2023-04,145.67,0.0,late_2mo,90,1000,7567.64,1
PAY-000077,C-4423,2023-05,2005.92,1791.58,on_time,12,5000,1801.26,0
PAY-000078,C-4726,2023-11,4219.65,3643.07,late_1mo,0,10000,1698.22,1
PAY-000079,C-4172,2023-04,2608.45,0.0,on_time,75,5000,8360.07,1
PAY-000080,C-2510,2023-04,4154.17,0.0,late_3mo,89,1000,2856.65,1
PAY-000081,C-4376,2023-10,2569.54,0.0,late_3mo,79,1000,2371.25,1
PAY-000082,C-2083,2023-02,3077.52,2027.15,late_1mo,17,10000,2211.07,0
PAY-000083,C-1689,2023-02,4713.5,0.0,late_2mo,79,1000,9779.55,1
PAY-000084,C-1247,2023-02,2012.95,0.0,on_time,78,1000,8864.53,1
PAY-000085,C-1604,2023-07,4718.48,4539.84,late_1mo,23,10000,1846.56,0
PAY-000086,C-4666,2023-01,2263.11,0.0,late_2mo,89,1000,8633.01,1
PAY-000087,C-1909,2023-04,3389.71,0.0,late_3mo,83,1000,9974.23,1
PAY-000088,C-2678,2023-01,972.54,202.32,late_3mo,82,5000,6915.58,1
PAY-000089,C-1041,2023-07,3991.28,920.56,late_1mo,30,5000,7170.2,1
PAY-000090,C-0739,2023-09,4431.87,1866.84,late_2mo,76,5000,3096.95,1
PAY-000091,C-1633,2023-12,333.74,206.38,late_1mo,27,10000,3778.41,0
PAY-000092,C-4466,2023-10,4029.66,1317.79,late_3mo,57,10000,9564.11,1
PAY-000093,C-0673,2023-01,2711.86,1259.02,late_1mo,77,5000,6433.33,1
PAY-000094,C-3994,2023-02,872.57,541.28,late_3mo,18,1000,289.49,1
PAY-000095,C-1740,2023-03,1981.97,1987.58,late_1mo,14,10000,1123.26,0
PAY-000096,C-3277,2023-04,2524.47,1355.22,late_3mo,11,10000,4301.89,0
PAY-000097,C-4884,2023-10,3895.2,1342.86,on_time,37,5000,3904.69,0
PAY-000098,C-2328,2023-01,3204.98,2348.11,on_time,7,10000,7281.28,0
PAY-000099,C-0648,2023-05,1093.55,801.48,late_1mo,32,5000,289.31,0
PAY-000100,C-2809,2023-06,1953.8,1070.94,late_2mo,59,5000,3676.2,0
PAY-000101,C-3028,2023-08,3170.34,0.0,late_2mo,82,1000,4584.02,1
PAY-000102,C-4074,2023-10,2750.31,877.62,late_2mo,70,5000,5921.02,1
PAY-000103,C-1189,2023-07,2198.32,0.0,late_2mo,90,1000,2218.78,1
PAY-000104,C-3047,2023-06,3077.05,2219.8,on_time,1,5000,1090.42,1
PAY-000105,C-3859,2023-12,771.6,587.84,late_1mo,34,5000,2154.22,0
PAY-000106,C-3523,2023-04,381.57,257.87,late_3mo,58,1000,747.27,1
PAY-000107,C-0549,2023-09,2708.04,3249.65,on_time,0,5000,20.26,0
PAY-000108,C-0053,2023-12,4501.69,0.0,late_3mo,90,1000,4050.58,1
PAY-000109,C-1990,2023-02,4036.99,2682.96,late_3mo,34,10000,6364.39,0
PAY-000110,C-2209,2023-06,1229.31,1187.9,late_2mo,48,10000,1844.06,0
PAY-000111,C-2880,2023-03,595.1,649.66,late_2mo,1,10000,3397.95,0
PAY-000112,C-1701,2023-07,1946.71,2012.54,late_1mo,27,10000,1625.17,0
PAY-000113,C-3456,2023-11,1280.25,1119.57,late_3mo,0,10000,942.6,0
PAY-000114,C-4919,2023-11,4716.09,0.0,late_2mo,83,1000,5672.73,1
PAY-000115,C-0449,2023-07,2133.14,1359.35,on_time,44,5000,3717.09,0
PAY-000116,C-1636,2023-08,2198.55,1680.71,late_2mo,39,10000,5268.24,0
PAY-000117,C-4471,2023-06,3021.64,2114.44,late_1mo,10,10000,5640.2,0
PAY-000118,C-3133,2023-10,1924.55,0.0,on_time,78,1000,7540.68,1
PAY-000119,C-0280,2023-12,365.37,0.0,on_time,90,1000,7860.38,1
PAY-000120,C-2892,2023-09,2140.6,301.72,late_2mo,44,5000,5373.68,0
PAY-000121,C-0783,2023-02,406.33,451.51,late_3mo,20,5000,1436.39,0
PAY-000122,C-1755,2023-06,4915.24,0.0,late_2mo,87,1000,7878.86,1
PAY-000123,C-2988,2023-10,2761.25,0.0,late_3mo,89,1000,5518.09,1
PAY-000124,C-2219,2023-02,3703.52,0.0,on_time,90,1000,5768.54,1
PAY-000125,C-4040,2023-06,2848.17,0.0,late_1mo,90,1000,6204.31,1
PAY-000126,C-1794,2023-07,4845.15,0.0,on_time,90,1000,4642.92,1
PAY-000127,C-0312,2023-07,2857.36,1784.65,late_1mo,0,10000,4418.18,0
PAY-000128,C-0027,2023-03,3381.94,2880.62,late_2mo,0,10000,153.97,0
PAY-000129,C-3641,2023-11,3136.79,0.0,late_3mo,90,1000,6355.5,1
PAY-000130,C-0302,2023-06,2113.69,2118.97,late_1mo,27,10000,2224.52,0
PAY-000131,C-0627,2023-11,4452.0,3795.84,late_3mo,3,10000,3111.58,0
PAY-000132,C-3601,2023-09,4055.91,2927.67,late_2mo,80,10000,7181.62,1
PAY-000133,C-4518,2023-09,2510.39,0.0,late_2mo,87,1000,2032.33,1
PAY-000134,C-1658,2023-12,1957.3,0.0,on_time,90,1000,9226.88,1
PAY-000135,C-2722,2023-02,2787.54,2273.39,late_2mo,1,10000,324.04,0
PAY-000136,C-3878,2023-09,244.2,197.66,late_2mo,10,10000,70.45,0
PAY-000137,C-1484,2023-01,4142.73,0.0,late_2mo,89,1000,8640.08,1
PAY-000138,C-4632,2023-07,4397.63,3346.75,on_time,60,10000,6008.75,1
PAY-000139,C-1669,2023-06,4780.29,1335.81,late_3mo,27,1000,982.55,0
PAY-000140,C-1517,2023-03,4439.34,0.0,on_time,90,1000,4275.86,1
PAY-000141,C-1681,2023-09,515.97,619.16,late_1mo,24,10000,931.98,0
PAY-000142,C-0688,2023-10,2810.39,0.0,late_1mo,82,1000,4371.74,1
PAY-000143,C-4947,2023-05,3740.25,0.0,on_time,90,1000,3705.25,1
PAY-000144,C-0059,2023-09,3725.28,0.0,late_1mo,90,1000,6076.54,1
PAY-000145,C-2320,2023-08,248.92,203.29,on_time,11,10000,5555.83,0
PAY-000146,C-2811,2023-06,4572.84,1365.82,late_1mo,57,5000,6670.73,0
PAY-000147,C-0675,2023-05,3737.48,2427.27,late_1mo,20,10000,2136.64,0
PAY-000148,C-2206,2023-10,1936.53,897.94,late_2mo,42,10000,9062.66,0
PAY-000149,C-3031,2023-12,554.47,0.0,on_time,90,1000,7814.73,1
PAY-000150,C-4371,2023-12,1395.27,522.68,late_3mo,80,5000,3689.3,0
PAY-000151,C-0049,2023-11,2258.04,1173.36,late_2mo,27,5000,2980.39,0
PAY-000152,C-0679,2023-04,665.01,615.88,late_3mo,0,5000,1039.07,0
PAY-000153,C-3653,2023-08,2088.12,1701.55,late_2mo,20,5000,1571.32,0
PAY-000154,C-0447,2023-12,439.11,0.0,late_2mo,88,1000,7816.99,1
PAY-000155,C-0715,2023-10,1031.92,553.28,on_time,2,10000,4561.38,0
PAY-000156,C-3871,2023-03,3881.71,2666.01,late_2mo,0,5000,2306.95,0
PAY-000157,C-2496,2023-08,2193.58,0.0,on_time,88,1000,4966.51,1
PAY-000158,C-2657,2023-03,1195.54,0.0,late_2mo,85,1000,8472.28,1
PAY-000159,C-2749,2023-06,3782.02,791.11,late_1mo,74,5000,6987.17,1
PAY-000160,C-1021,2023-04,2610.1,1367.08,late_1mo,6,10000,6077.73,0
PAY-000161,C-1240,2023-07,2054.02,0.0,on_time,90,1000,9517.05,1
PAY-000162,C-4606,2023-05,4784.11,0.0,late_3mo,90,1000,2618.85,1
PAY-000163,C-2541,2023-04,497.12,259.48,late_2mo,34,10000,7212.39,0
PAY-000164,C-0416,2023-02,2595.73,366.2,late_1mo,31,10000,6724.24,0
PAY-000165,C-2804,2023-04,2602.31,2217.84,on_time,24,5000,2197.94,1
PAY-000166,C-0706,2023-10,4279.06,3378.46,late_2mo,34,10000,7556.24,0
PAY-000167,C-3527,2023-03,1147.41,0.0,late_3mo,78,5000,8967.95,1
PAY-000168,C-2874,2023-08,4499.83,810.18,on_time,84,5000,7919.69,1
PAY-000169,C-2510,2023-01,2303.48,2229.72,late_1mo,9,5000,303.29,0
PAY-000170,C-2551,2023-01,4457.03,0.0,late_2mo,87,1000,5576.14,1
PAY-000171,C-0123,2023-05,2947.41,1188.51,on_time,42,10000,9479.15,0
PAY-000172,C-2283,2023-01,937.55,514.64,late_1mo,36,10000,6916.47,0
PAY-000173,C-2133,2023-05,1997.41,0.0,on_time,72,1000,1497.58,1
PAY-000174,C-3765,2023-07,1310.0,1281.54,late_3mo,22,1000,290.31,1
PAY-000175,C-0607,2023-08,1157.92,781.94,late_3mo,6,10000,3290.94,0
PAY-000176,C-0556,2023-08,590.15,0.0,on_time,68,1000,3736.74,1
PAY-000177,C-2654,2023-11,3267.17,0.0,on_time,77,1000,9909.39,1
PAY-000178,C-0696,2023-07,3576.62,468.9,late_2mo,74,5000,6862.64,1
PAY-000179,C-2282,2023-01,707.61,266.81,late_2mo,81,5000,6680.98,1
PAY-000180,C-2713,2023-11,1323.59,1194.76,late_1mo,27,5000,668.45,0
PAY-000181,C-3822,2023-04,3665.94,2284.3,late_3mo,24,10000,5075.01,0
PAY-000182,C-4432,2023-05,384.15,0.0,late_2mo,86,1000,8421.86,1
PAY-000183,C-1742,2023-09,4906.9,3712.2,on_time,17,5000,2167.98,0
PAY-000184,C-0669,2023-08,4223.48,3811.75,on_time,41,10000,5271.27,1
PAY-000185,C-3082,2023-10,4896.76,2858.68,late_1mo,23,5000,2290.16,0
PAY-000186,C-3528,2023-02,998.95,0.0,late_3mo,89,1000,2483.14,1
PAY-000187,C-3675,2023-05,1910.65,497.35,late_3mo,80,5000,6691.99,1
PAY-000188,C-2512,2023-12,3902.9,2469.34,late_2mo,32,10000,4114.96,1
PAY-000189,C-1486,2023-06,4211.08,3933.6,late_3mo,53,10000,4898.53,0
PAY-000190,C-2231,2023-01,2802.35,2032.68,on_time,0,1000,266.56,0
PAY-000191,C-1702,2023-10,2157.28,0.0,late_2mo,81,5000,8244.91,1
PAY-000192,C-2604,2023-07,3182.28,2486.22,late_3mo,11,5000,798.62,0
PAY-000193,C-2203,2023-08,2784.85,0.0,on_time,90,1000,8099.79,1
PAY-000194,C-2336,2023-02,4634.45,3061.75,late_3mo,4,1000,339.88,0
PAY-000195,C-1394,2023-03,376.46,0.0,late_1mo,75,1000,6769.31,1
PAY-000196,C-4843,2023-03,2268.13,0.0,late_2mo,80,5000,7836.88,1
PAY-000197,C-3197,2023-03,2475.97,958.6,late_2mo,43,5000,4079.3,0
PAY-000198,C-4142,2023-05,1953.6,0.0,late_2mo,90,1000,8867.25,1
PAY-000199,C-4300,2023-07,2008.47,1305.83,late_1mo,1,10000,4272.87,0
PAY-000200,C-3784,2023-12,2061.64,1096.62,late_3mo,22,1000,471.59,0
PAY-000201,C-2756,2023-09,3081.23,0.0,late_2mo,90,1000,8906.56,1
PAY-000202,C-1807,2023-11,4649.58,4281.02,on_time,11,5000,146.91,0
PAY-000203,C-3501,2023-10,555.07,658.86,on_time,26,10000,1089.58,0
PAY-000204,C-1689,2023-02,3232.4,806.26,late_2mo,44,10000,9279.98,0
PAY-000205,C-3389,2023-07,3781.91,1813.19,late_1mo,9,1000,558.91,1
PAY-000206,C-0005,2023-08,2609.3,2138.45,late_2mo,15,10000,1150.97,0
PAY-000207,C-0091,2023-06,2795.7,1659.44,late_3mo,20,10000,4647.98,1
PAY-000208,C-4628,2023-08,4935.22,2973.4,late_3mo,40,10000,6018.11,0
PAY-000209,C-0889,2023-06,1068.73,0.0,late_1mo,90,1000,9920.83,1
PAY-000210,C-0923,2023-01,2594.51,3113.41,on_time,9,10000,468.17,1
PAY-000211,C-3905,2023-02,1611.47,1497.63,late_3mo,0,5000,7.54,0
PAY-000212,C-4046,2023-01,4362.57,1515.08,late_2mo,59,5000,6931.09,0
PAY-000213,C-1586,2023-03,4489.52,1072.06,on_time,77,1000,947.52,0
PAY-000214,C-3729,2023-09,534.77,0.0,on_time,90,1000,2873.53,1
PAY-000215,C-0592,2023-02,3560.59,1091.9,late_3mo,77,10000,9431.91,1
PAY-000216,C-0166,2023-02,2773.58,1340.1,late_3mo,35,10000,5114.39,0
PAY-000217,C-1957,2023-02,1809.83,0.0,on_time,90,5000,9591.67,1
PAY-000218,C-1919,2023-06,4687.47,2833.01,late_1mo,54,10000,7709.03,0
PAY-000219,C-3932,2023-07,1848.95,2151.09,late_2mo,27,5000,265.24,0
PAY-000220,C-4832,2023-08,3048.35,1689.13,on_time,32,10000,6112.43,0
PAY-000221,C-3481,2023-02,2700.76,1975.48,late_2mo,26,5000,2935.11,0
PAY-000222,C-0381,2023-05,2970.47,1832.79,on_time,0,10000,3766.44,0
PAY-000223,C-0074,2023-12,1216.9,965.59,on_time,39,10000,3980.56,0
PAY-000224,C-3319,2023-01,1947.03,1474.76,on_time,1,10000,984.77,0
PAY-000225,C-0536,2023-06,1698.17,1063.33,late_2mo,6,10000,7092.89,0
PAY-000226,C-4414,2023-11,3619.16,2943.09,late_3mo,15,10000,6433.2,0
PAY-000227,C-2597,2023-01,2482.05,2239.43,late_3mo,27,1000,135.72,0
PAY-000228,C-3926,2023-09,349.85,167.22,late_2mo,51,10000,6898.48,1
PAY-000229,C-3432,2023-05,3784.88,1873.03,late_3mo,82,5000,6686.13,1
PAY-000230,C-2336,2023-10,397.69,0.0,late_3mo,90,1000,6032.47,1
PAY-000231,C-2082,2023-05,488.87,107.28,late_3mo,12,10000,8024.01,0
PAY-000232,C-4425,2023-04,4684.64,643.71,late_1mo,30,5000,3570.21,0
PAY-000233,C-4810,2023-09,67.08,47.4,late_2mo,55,10000,4908.35,0
PAY-000234,C-3975,2023-09,4771.12,3951.71,late_2mo,25,10000,5264.86,0
PAY-000235,C-0011,2023-02,3224.92,1330.77,late_1mo,37,5000,4591.11,0
PAY-000236,C-2187,2023-03,1509.99,0.0,late_3mo,83,1000,5903.71,1
PAY-000237,C-3964,2023-07,1363.87,575.9,late_3mo,67,5000,5654.08,1
PAY-000238,C-3248,2023-09,4723.44,2869.27,late_1mo,18,10000,3162.35,0
PAY-000239,C-1493,2023-01,301.24,308.36,late_2mo,31,10000,2468.85,0
PAY-000240,C-1785,2023-02,4605.68,0.0,on_time,80,1000,4302.48,1
PAY-000241,C-1910,2023-11,4748.49,0.0,late_3mo,75,1000,1748.58,1
PAY-000242,C-4246,2023-07,2622.31,1134.56,late_1mo,22,10000,8938.68,0
PAY-000243,C-2812,2023-06,2568.2,1534.54,on_time,29,10000,6268.1,0
PAY-000244,C-3124,2023-08,3612.31,0.0,late_1mo,86,1000,5195.0,1
PAY-000245,C-3835,2023-08,3518.19,0.0,late_1mo,90,1000,9600.05,1
PAY-000246,C-4988,2023-10,2668.1,1945.13,on_time,54,10000,4782.97,0
PAY-000247,C-4200,2023-06,243.06,100.13,on_time,42,10000,9303.14,0
PAY-000248,C-2294,2023-11,2654.72,0.0,late_2mo,84,1000,2292.45,1
PAY-000249,C-3859,2023-10,257.63,134.91,on_time,39,5000,2672.5,0
PAY-000250,C-3700,2023-05,1208.74,1046.71,late_3mo,0,10000,2666.74,0
PAY-000251,C-0550,2023-02,4670.52,0.0,on_time,90,1000,2868.72,1
PAY-000252,C-1505,2023-09,2880.96,1681.32,late_2mo,10,10000,6649.95,0
PAY-000253,C-2019,2023-10,4742.68,0.0,late_3mo,74,1000,4507.37,1
PAY-000254,C-1836,2023-05,2123.89,0.0,late_1mo,90,1000,7941.16,1
PAY-000255,C-0420,2023-10,3267.36,2299.04,on_time,10,10000,4061.65,1
PAY-000256,C-4506,2023-10,4278.37,2662.86,late_1mo,51,1000,1085.58,1
PAY-000257,C-3806,2023-01,4290.29,2209.11,on_time,53,10000,7232.45,1
PAY-000258,C-3495,2023-11,1096.85,0.0,on_time,81,5000,7961.09,1
PAY-000259,C-1483,2023-07,1809.97,2039.17,on_time,25,10000,1937.17,0
PAY-000260,C-3273,2023-10,2794.89,3213.54,on_time,0,10000,670.96,0
PAY-000261,C-1951,2023-06,193.37,209.28,on_time,5,10000,212.21,0
PAY-000262,C-0058,2023-07,2678.96,0.0,late_3mo,90,1000,7531.98,1
PAY-000263,C-1501,2023-01,2480.47,0.0,late_1mo,90,1000,8362.97,1
PAY-000264,C-3544,2023-04,1051.83,148.73,late_1mo,64,5000,6088.48,0
PAY-000265,C-3112,2023-05,1335.3,1289.43,late_2mo,0,10000,1588.92,0
PAY-000266,C-0253,2023-10,1014.02,619.83,late_1mo,62,5000,4552.1,1
PAY-000267,C-3092,2023-03,4532.51,0.0,on_time,79,5000,9469.27,1
PAY-000268,C-1531,2023-10,76.68,79.63,on_time,19,1000,234.58,0
PAY-000269,C-4535,2023-11,4666.69,0.0,late_2mo,82,1000,6659.78,1
PAY-000270,C-3120,2023-12,2977.22,0.0,late_3mo,81,5000,9818.59,1
PAY-000271,C-4160,2023-04,3067.58,2230.97,late_3mo,25,5000,2451.99,0
PAY-000272,C-2634,2023-12,1417.28,0.0,late_1mo,89,1000,3738.57,1
PAY-000273,C-0421,2023-02,4321.42,2206.12,late_3mo,29,10000,5144.98,0
PAY-000274,C-4354,2023-04,4442.48,2464.51,late_1mo,23,10000,6647.15,0
PAY-000275,C-3353,2023-04,4540.34,0.0,late_1mo,72,5000,8895.16,1
PAY-000276,C-4581,2023-06,281.15,322.86,late_2mo,20,5000,1888.85,0
PAY-000277,C-0710,2023-08,1570.63,1171.08,on_time,2,10000,4283.36,0
PAY-000278,C-4470,2023-02,3960.5,4357.65,on_time,33,10000,3136.92,1
PAY-000279,C-4682,2023-06,1532.74,1532.7,late_3mo,20,10000,2015.93,0
PAY-000280,C-3733,2023-03,210.76,143.39,late_3mo,60,5000,5083.63,1
PAY-000281,C-4352,2023-11,2178.85,1169.05,late_1mo,2,10000,6851.72,0
PAY-000282,C-4330,2023-02,4844.39,0.0,on_time,90,1000,6877.34,1
PAY-000283,C-1240,2023-06,4737.06,0.0,late_2mo,80,1000,5254.85,1
PAY-000284,C-3733,2023-01,2094.23,0.0,late_3mo,90,5000,8969.94,1
PAY-000285,C-0025,2023-06,4358.05,0.0,late_3mo,85,1000,4491.29,1
PAY-000286,C-1345,2023-10,1132.55,26.12,on_time,88,5000,9088.05,1
PAY-000287,C-2104,2023-07,1703.29,705.63,late_3mo,18,10000,6845.75,1
PAY-000288,C-3115,2023-05,1581.2,1251.53,on_time,45,5000,4326.21,0
PAY-000289,C-4390,2023-12,122.4,0.0,late_2mo,90,1000,4293.28,1
PAY-000290,C-2571,2023-09,3947.53,2662.49,late_1mo,20,10000,7145.98,1
PAY-000291,C-1747,2023-07,162.89,134.17,late_1mo,25,1000,416.15,0
PAY-000292,C-1896,2023-07,4275.41,3151.53,on_time,32,10000,6724.48,0
PAY-000293,C-0835,2023-02,347.08,289.29,late_3mo,36,10000,6149.58,0
PAY-000294,C-2712,2023-12,1439.83,603.18,on_time,42,5000,3894.62,1
PAY-000295,C-2640,2023-10,3691.44,1600.42,late_2mo,85,10000,9519.27,0
PAY-000296,C-1451,2023-06,4806.92,0.0,late_3mo,80,1000,6857.14,1
PAY-000297,C-3353,2023-05,1759.45,0.0,late_1mo,90,1000,6392.68,1
PAY-000298,C-1139,2023-07,3237.92,2644.09,late_2mo,36,10000,6906.54,0
PAY-000299,C-1361,2023-07,1676.39,319.19,on_time,68,5000,4566.1,0
PAY-000300,C-3701,2023-11,2727.36,1840.59,late_1mo,25,5000,3071.61,0
PAY-000301,C-1547,2023-11,4975.85,0.0,late_2mo,90,1000,6714.07,1
PAY-000302,C-2686,2023-10,3322.73,0.0,late_2mo,90,1000,6924.21,1
PAY-000303,C-4981,2023-02,2019.05,0.0,late_2mo,90,1000,4310.06,1
PAY-000304,C-4713,2023-05,595.46,308.82,late_1mo,23,10000,7879.36,0
PAY-000305,C-0464,2023-11,1070.68,0.0,late_2mo,73,1000,5942.43,1
PAY-000306,C-4147,2023-07,770.4,445.97,late_1mo,53,10000,9154.68,0
PAY-000307,C-0339,2023-01,1543.5,0.0,on_time,88,1000,9771.01,1
PAY-000308,C-3146,2023-07,3360.97,3128.71,late_2mo,41,5000,314.57,0
PAY-000309,C-1089,2023-05,4371.79,2056.96,on_time,28,10000,7250.94,1
PAY-000310,C-0411,2023-07,2413.99,0.0,late_2mo,90,1000,7926.63,1
PAY-000311,C-3252,2023-08,2289.08,858.17,on_time,55,10000,7798.54,0
PAY-000312,C-4364,2023-12,4647.14,3775.67,late_2mo,12,10000,2073.33,0
PAY-000313,C-4020,2023-12,3152.31,3782.77,late_2mo,12,10000,551.8,0
PAY-000314,C-2056,2023-10,3302.27,0.0,late_1mo,90,1000,3152.75,1
PAY-000315,C-3857,2023-05,3832.06,2741.85,late_1mo,64,5000,2791.02,1
PAY-000316,C-4396,2023-07,1843.6,179.23,late_1mo,84,5000,8436.46,1
PAY-000317,C-0861,2023-02,255.89,136.08,on_time,13,10000,5681.84,0
PAY-000318,C-2037,2023-01,1326.93,410.64,late_2mo,52,5000,4724.98,1
