transaction_id,customer_id,timestamp,amount,merchant_category,location_lat,location_lon,device_id,is_online,velocity_1h,velocity_24h,distance_from_home,is_fraud
TXN-00000029,C-2513,2026-05-23T07:18:52.946905,86.48,digital,-60.5812,12.4039,DEV-05183,False,3,1,47.64,0
TXN-00000030,C-0706,2026-07-09T09:18:52.946905,53.5,digital,-81.0029,-113.7326,DEV-02843,False,1,3,14.78,0
TXN-00000031,C-4222,2026-07-27T04:18:52.946905,1.87,digital,-58.9708,-154.46,DEV-06167,True,4,4,154.3,1
TXN-00000032,C-4732,2026-07-18T23:18:52.946905,138.53,food,-56.439,58.7964,DEV-02280,True,1,9,42.65,0
TXN-00000033,C-0661,2026-08-17T00:18:52.946905,3.85,utilities,-43.0588,113.3827,DEV-03393,True,2,1,50.18,0
TXN-00000034,C-4881,2026-06-30T17:18:52.946905,28.55,digital,57.0435,63.225,DEV-06310,False,2,6,128.76,0
TXN-00000035,C-0602,2026-06-24T12:18:52.946905,51.59,retail,58.6621,-43.0597,DEV-08475,True,3,4,62.76,0
TXN-00000036,C-3917,2026-08-08T13:18:52.946905,219.11,digital,54.5877,-121.0876,DEV-07104,False,2,13,1.15,0
TXN-00000037,C-2616,2026-05-16T14:18:52.946905,40.63,food,19.7112,-60.436,DEV-01736,True,3,8,111.33,0
TXN-00000038,C-4155,2026-05-17T14:18:52.946905,13.89,retail,13.8014,53.9775,DEV-07713,False,1,7,187.49,0
TXN-00000039,C-1855,2026-06-01T15:18:52.946905,8.54,utilities,34.5265,93.3214,DEV-08786,False,1,6,16.68,0
TXN-00000040,C-2964,2026-08-13T09:18:52.946905,110.52,utilities,-7.7751,-144.6636,DEV-03898,False,3,9,15.03,0
TXN-00000041,C-2713,2026-07-02T13:18:52.946905,93.63,digital,-6.9583,9.6281,DEV-05365,False,1,10,22.61,0
TXN-00000042,C-1492,2026-05-22T09:18:52.946905,20.65,digital,89.3868,-95.7013,DEV-02099,False,4,7,133.79,0
TXN-00000043,C-2345,2026-07-09T05:18:52.946905,61.91,retail,45.9951,-124.7672,DEV-07354,False,1,5,17.14,0
TXN-00000044,C-4941,2026-08-22T13:18:52.946905,32.14,digital,10.1134,57.1335,DEV-09001,False,4,11,30.27,0
TXN-00000045,C-4006,2026-07-06T07:18:52.946905,93.76,food,37.8188,-26.4728,DEV-08633,True,1,5,0.3,0
TXN-00000046,C-1598,2026-06-23T16:18:52.946905,22.44,digital,-53.4516,-122.7648,DEV-07811,True,2,7,87.84,0
TXN-00000047,C-2049,2026-08-01T21:18:52.946905,175.55,retail,-52.6676,-53.126,DEV-00195,True,1,14,58.59,0
TXN-00000048,C-2003,2026-05-16T00:18:52.946905,333.89,digital,24.8126,14.2463,DEV-06335,True,1,10,136.97,1
TXN-00000049,C-1030,2026-08-08T21:18:52.946905,182.97,retail,-70.0045,-52.781,DEV-08162,True,4,3,64.49,0
TXN-00000050,C-3992,2026-08-15T01:18:52.946905,230.58,travel,-68.4231,120.6112,DEV-06014,False,2,7,7.89,0
TXN-00000051,C-1487,2026-08-03T15:18:52.946905,46.96,utilities,31.3363,-113.1628,DEV-08050,True,2,10,93.84,0
TXN-00000052,C-4968,2026-07-24T14:18:52.946905,89.76,utilities,-41.2739,-1.0751,DEV-08182,False,1,11,104.99,0
TXN-00000053,C-2183,2026-06-06T14:18:52.946905,20.28,digital,-3.3079,64.5665,DEV-01204,False,4,11,1.36,0
TXN-00000054,C-3056,2026-06-19T20:18:52.946905,69.37,utilities,-9.9184,46.8366,DEV-03799,True,2,4,45.84,0
TXN-00000055,C-2368,2026-06-18T07:18:52.946905,85.64,food,23.1684,-13.6036,DEV-06929,True,4,12,4.57,0
TXN-00000056,C-0778,2026-08-07T19:18:52.946905,105.27,food,50.6741,-23.8759,DEV-09485,False,1,10,7.87,0
TXN-00000057,C-0807,2026-06-06T12:18:52.946905,296.81,utilities,51.9461,176.6615,DEV-07435,True,2,14,10.48,0
TXN-00000058,C-2564,2026-07-25T15:18:52.946905,384.42,digital,-56.2366,-149.0156,DEV-01437,False,1,9,35.0,1
TXN-00000059,C-2836,2026-06-14T16:18:52.946905,9.4,retail,37.0747,89.6274,DEV-06464,True,1,9,58.31,0
TXN-00000060,C-1999,2026-05-18T00:18:52.946905,136.35,utilities,-8.388,31.711,DEV-08349,False,3,6,13.7,0
TXN-00000061,C-3664,2026-06-17T19:18:52.946905,313.85,retail,-81.1302,-174.7872,DEV-08421,True,3,10,8.51,0
TXN-00000062,C-3202,2026-05-19T20:18:52.946905,43.24,retail,-37.8611,-87.8649,DEV-08297,True,2,1,25.53,0
TXN-00000063,C-4435,2026-06-14T22:18:52.946905,65.8,utilities,0.5203,138.5561,DEV-05225,False,2,9,22.21,0
TXN-00000064,C-4053,2026-07-27T06:18:52.946905,147.39,food,-24.2709,-141.7779,DEV-05886,False,3,11,39.37,0
TXN-00000065,C-3996,2026-07-11T06:18:52.946905,171.19,digital,33.9946,172.6119,DEV-06875,False,4,5,26.35,0
TXN-00000066,C-0538,2026-08-10T14:18:52.946905,84.62,utilities,-31.3058,101.4155,DEV-09302,True,1,10,5.16,0
TXN-00000067,C-4490,2026-05-20T20:18:52.946905,517.12,travel,-66.3738,50.9644,DEV-03302,True,4,7,2.37,0
TXN-00000068,C-3433,2026-05-15T21:18:52.946905,54.84,digital,-0.2322,174.3071,DEV-07444,False,4,12,29.75,0
TXN-00000069,C-4948,2026-07-20T03:18:52.946905,45.66,travel,-10.5168,172.8571,DEV-07558,False,3,7,41.35,0
TXN-00000070,C-4736,2026-07-10T07:18:52.946905,210.4,retail,-0.4431,41.1076,DEV-09510,False,1,10,17.58,0
TXN-00000071,C-1495,2026-06-27T16:18:52.946905,6.99,utilities,-46.4736,-91.6715,DEV-05564,False,4,8,50.14,0
TXN-00000072,C-2021,2026-08-12T07:18:52.946905,55.3,utilities,-10.8183,-52.2119,DEV-01792,True,2,6,28.82,0
TXN-00000073,C-3287,2026-08-07T12:18:52.946905,297.77,travel,40.4572,115.9905,DEV-06648,True,4,10,86.31,1
TXN-00000074,C-1290,2026-08-03T10:18:52.946905,28.46,travel,-39.032,1.889,DEV-04371,False,4,14,4.54,0
TXN-00000075,C-2188,2026-08-07T00:18:52.946905,291.46,retail,-41.4625,113.4107,DEV-06370,False,2,12,80.43,0
TXN-00000076,C-4707,2026-06-09T17:18:52.946905,131.2,food,15.2542,148.5103,DEV-01027,True,1,9,32.92,0
TXN-00000077,C-4983,2026-07-10T22:18:52.946905,46.68,digital,54.8427,-133.5351,DEV-09447,True,3,4,4.96,0
TXN-00000078,C-2802,2026-05-22T09:18:52.946905,69.23,food,26.8978,-68.0569,DEV-03641,False,3,4,14.01,0
TXN-00000079,C-3194,2026-05-31T08:18:52.946905,31.57,utilities,37.7394,152.4756,DEV-05960,True,3,9,13.33,0
TXN-00000080,C-2550,2026-07-17T21:18:52.946905,54.05,retail,46.7679,25.2864,DEV-06393,True,3,5,68.7,0
TXN-00000081,C-4097,2026-08-18T16:18:52.946905,42.55,food,-9.5017,91.1894,DEV-00506,False,4,11,3.14,0
TXN-00000082,C-4794,2026-06-12T21:18:52.946905,184.22,food,-58.3864,-135.8469,DEV-07756,True,3,3,111.76,0
TXN-00000083,C-0555,2026-06-25T11:18:52.946905,33.92,travel,-31.8257,130.6544,DEV-01416,True,1,4,24.89,0
TXN-00000084,C-2817,2026-08-06T11:18:52.946905,21.83,utilities,-12.5502,-167.4192,DEV-07703,True,1,5,67.93,0
TXN-00000085,C-3955,2026-06-25T07:18:52.946905,28.31,retail,50.9034,-151.5018,DEV-05978,False,4,7,2.94,0
TXN-00000086,C-0127,2026-06-04T03:18:52.946905,41.61,digital,53.9261,-120.4173,DEV-09958,True,1,2,130.74,0
TXN-00000087,C-4058,2026-07-20T18:18:52.946905,6.43,retail,-60.413,78.81,DEV-06665,False,3,3,17.8,0
TXN-00000088,C-1449,2026-07-26T03:18:52.946905,99.91,food,51.3352,5.1053,DEV-00667,True,2,14,15.55,0
TXN-00000089,C-0057,2026-06-21T00:18:52.946905,183.29,food,43.3194,112.1622,DEV-06173,True,2,6,69.19,0
TXN-00000090,C-4049,2026-05-29T06:18:52.946905,420.47,utilities,-56.4938,-33.9316,DEV-06924,False,3,8,13.23,0
TXN-00000091,C-2010,2026-06-17T15:18:52.946905,39.83,utilities,-79.5898,-44.5557,DEV-08051,True,2,3,28.69,1
TXN-00000092,C-4000,2026-05-19T19:18:52.946905,52.06,digital,52.0704,-120.5962,DEV-08114,True,1,13,167.37,0
TXN-00000093,C-3640,2026-06-13T08:18:52.946905,41.9,digital,-29.6377,33.4813,DEV-05290,True,2,1,68.12,0
TXN-00000094,C-2575,2026-06-08T18:18:52.946905,13.36,food,-88.2019,-88.0636,DEV-09019,False,3,9,61.34,0
TXN-00000095,C-0700,2026-08-19T08:18:52.946905,158.06,retail,-81.3329,-90.2825,DEV-07487,True,1,1,18.04,0
TXN-00000096,C-2253,2026-08-01T10:18:52.946905,134.9,food,11.1851,-27.8512,DEV-03502,True,2,2,54.19,0
TXN-00000097,C-1607,2026-05-16T01:18:52.946905,86.61,digital,-29.6308,-6.0204,DEV-07400,True,3,7,6.43,0
TXN-00000098,C-0760,2026-06-10T22:18:52.946905,9.06,digital,55.9629,-16.5155,DEV-05216,True,4,5,14.7,0
TXN-00000099,C-1803,2026-06-27T11:18:52.946905,17.54,utilities,-49.3575,91.8659,DEV-05396,True,2,9,60.89,0
TXN-00000100,C-4491,2026-06-05T03:18:52.946905,544.99,travel,-28.775,-54.9977,DEV-00650,True,2,3,114.93,0
TXN-00000101,C-0805,2026-07-03T07:18:52.946905,70.67,retail,-32.7661,175.7066,DEV-03642,True,1,6,119.06,1
TXN-00000102,C-3409,2026-07-08T00:18:52.946905,25.76,digital,-68.0222,-21.2072,DEV-00640,False,2,2,4.14,0
TXN-00000103,C-4519,2026-05-16T15:18:52.946905,143.24,travel,-1.5676,108.4569,DEV-00416,False,4,7,267.64,0
TXN-00000104,C-0255,2026-06-02T17:18:52.946905,24.66,food,63.4933,110.188,DEV-09649,True,3,10,36.77,0
TXN-00000105,C-2032,2026-08-17T08:18:52.946905,108.5,retail,-32.3146,40.5394,DEV-08047,False,3,10,130.51,0
TXN-00000106,C-3110,2026-08-03T17:18:52.946905,219.63,food,82.3313,-50.0428,DEV-06638,True,1,9,6.4,1
TXN-00000107,C-0106,2026-07-10T01:18:52.946905,5.42,retail,62.877,-95.0905,DEV-09706,True,3,11,54.19,0
TXN-00000108,C-1866,2026-06-29T01:18:52.946905,153.93,food,-56.8716,-140.1745,DEV-02285,True,2,1,22.17,0
TXN-00000109,C-1218,2026-05-17T20:18:52.946905,1.53,digital,59.65,123.5252,DEV-03958,True,3,6,11.62,0
TXN-00000110,C-4416,2026-08-14T20:18:52.946905,38.9,utilities,-9.0503,116.4356,DEV-09115,False,2,7,27.66,0
TXN-00000111,C-1068,2026-07-16T09:18:52.946905,113.23,travel,67.5365,-136.9264,DEV-02880,True,2,1,22.83,0
TXN-00000112,C-4606,2026-08-11T06:18:52.946905,9.09,food,75.8883,-113.3194,DEV-08605,False,4,6,19.56,0
TXN-00000113,C-1062,2026-06-19T23:18:52.946905,18.56,travel,56.9632,-15.1284,DEV-05236,False,2,13,13.42,0
TXN-00000114,C-0774,2026-08-19T21:18:52.946905,95.12,travel,64.7875,76.8772,DEV-08649,True,2,2,79.31,0
TXN-00000115,C-3587,2026-07-06T09:18:52.946905,33.23,utilities,-64.2195,-40.0931,DEV-01847,True,3,12,16.37,0
TXN-00000116,C-4515,2026-07-20T11:18:52.946905,740.5,food,7.3597,104.5379,DEV-01194,True,4,1,12.14,1
TXN-00000117,C-0725,2026-06-04T22:18:52.946905,80.54,travel,-45.8773,1.5045,DEV-07691,True,2,3,62.49,0
TXN-00000118,C-0680,2026-08-20T19:18:52.946905,34.83,travel,-18.7463,55.7754,DEV-02170,True,4,6,2.82,0
TXN-00000119,C-1951,2026-08-09T11:18:52.946905,107.99,retail,10.522,93.9609,DEV-01200,False,1,13,75.8,0
TXN-00000120,C-4570,2026-06-20T14:18:52.946905,28.62,utilities,64.0681,12.453,DEV-09040,False,3,14,19.52,0
TXN-00000121,C-0985,2026-06-12T04:18:52.946905,250.08,retail,28.6452,41.2924,DEV-01498,True,4,14,59.22,1
TXN-00000122,C-3888,2026-08-07T13:18:52.946905,88.04,digital,-2.6975,126.8619,DEV-04211,False,4,12,97.38,0
TXN-00000123,C-2974,2026-06-17T02:18:52.946905,30.61,travel,25.3878,-75.3749,DEV-03551,True,4,7,30.92,0
TXN-00000124,C-2310,2026-05-16T06:18:52.946905,31.39,food,8.9984,-10.1537,DEV-01172,True,4,1,33.72,0
TXN-00000125,C-4184,2026-06-13T13:18:52.946905,332.92,food,-13.6744,172.3048,DEV-09612,False,2,1,55.94,0
TXN-00000126,C-2329,2026-07-08T11:18:52.946905,34.92,digital,72.7047,-139.2883,DEV-00904,False,2,4,183.2,0
TXN-00000127,C-4819,2026-07-23T15:18:52.946905,168.31,travel,58.6649,-109.6943,DEV-09604,True,3,10,170.95,0
TXN-00000128,C-2643,2026-07-05T15:18:52.946905,328.9,travel,-30.0316,69.816,DEV-02953,False,3,14,77.14,0
TXN-00000129,C-2007,2026-08-13T07:18:52.946905,439.53,utilities,37.3151,131.3863,DEV-01889,True,3,10,41.35,1
TXN-00000130,C-3224,2026-06-17T01:18:52.946905,48.37,retail,21.1052,38.8903,DEV-03499,True,2,10,22.04,0
TXN-00000131,C-2318,2026-06-17T00:18:52.946905,156.15,utilities,44.6233,96.0332,DEV-05284,False,3,12,81.74,0
TXN-00000132,C-2011,2026-08-20T18:18:52.946905,10.82,utilities,72.2532,-37.1187,DEV-05157,False,1,5,51.25,0
TXN-00000133,C-4016,2026-08-19T14:18:52.946905,11.8,utilities,26.3698,-34.9727,DEV-02122,True,2,9,26.84,0
TXN-00000134,C-3833,2026-07-27T05:18:52.946905,182.38,food,53.7637,-4.7627,DEV-06039,True,4,2,15.03,0
TXN-00000135,C-4242,2026-07-16T06:18:52.946905,41.18,utilities,54.1224,-23.1384,DEV-07931,True,4,3,41.52,0
TXN-00000136,C-2332,2026-07-14T15:18:52.946905,58.19,travel,-9.9517,-150.877,DEV-06674,True,4,6,158.09,0
TXN-00000137,C-0361,2026-05-23T20:18:52.946905,67.24,utilities,-70.8213,163.8581,DEV-05602,True,4,11,89.42,0
TXN-00000138,C-2379,2026-07-20T19:18:52.946905,140.87,travel,-27.7311,-56.0083,DEV-09962,True,4,7,14.48,1
TXN-00000139,C-3039,2026-05-22T01:18:52.946905,49.14,digital,58.9915,-81.8764,DEV-02467,True,2,10,78.92,0
TXN-00000140,C-3069,2026-05-19T08:18:52.946905,247.14,travel,-7.0852,20.2607,DEV-06997,True,2,13,8.84,0
TXN-00000141,C-0440,2026-07-09T01:18:52.946905,175.8,digital,-57.2633,164.3676,DEV-04304,True,2,13,37.64,0
TXN-00000142,C-2299,2026-08-04T18:18:52.946905,82.77,digital,-53.2866,166.7095,DEV-01220,True,3,5,41.51,0
TXN-00000143,C-2192,2026-07-23T20:18:52.946905,23.62,retail,23.1306,123.8734,DEV-00378,True,1,2,28.74,0
TXN-00000144,C-0488,2026-08-02T20:18:52.946905,19.62,utilities,-26.0155,-162.9598,DEV-08660,False,4,14,107.44,1
TXN-00000145,C-4236,2026-06-17T00:18:52.946905,27.78,food,-35.7093,109.2176,DEV-04697,True,3,11,35.8,0
TXN-00000146,C-3530,2026-08-14T04:18:52.946905,2.08,travel,-74.8077,-174.2335,DEV-07115,False,1,8,57.95,0
TXN-00000147,C-1774,2026-08-15T07:18:52.946905,209.81,food,-62.1884,54.786,DEV-07260,True,4,11,11.82,0
TXN-00000148,C-2136,2026-07-14T22:18:52.946905,250.76,utilities,49.1258,-131.7705,DEV-03062,True,3,8,55.96,0
TXN-00000149,C-1045,2026-08-15T22:18:52.946905,146.03,travel,-63.6083,-11.9116,DEV-04445,False,1,8,135.41,0
TXN-00000150,C-2119,2026-05-16T10:18:52.946905,22.36,retail,55.1647,44.3993,DEV-07185,True,1,9,49.9,0
TXN-00000151,C-0083,2026-06-26T16:18:52.946905,23.08,food,-61.2316,165.7624,DEV-08798,True,1,10,123.3,0
TXN-00000152,C-2666,2026-07-04T06:18:52.946905,51.28,travel,-56.8742,35.9107,DEV-00496,False,4,13,19.97,0
TXN-00000153,C-1265,2026-07-02T03:18:52.946905,206.33,travel,-5.831,-120.9123,DEV-00190,True,3,3,144.8,0
TXN-00000154,C-2646,2026-06-15T19:18:52.946905,20.76,retail,38.1933,-98.8948,DEV-02211,True,2,9,0.34,0
TXN-00000155,C-1057,2026-06-19T02:18:52.946905,180.74,retail,50.1132,83.5143,DEV-00800,False,4,9,76.07,0
TXN-00000156,C-3936,2026-05-17T08:18:52.946905,130.49,utilities,78.6891,136.9405,DEV-02303,True,4,3,12.35,0
TXN-00000157,C-1629,2026-08-18T21:18:52.946905,126.3,food,-38.1985,24.4208,DEV-09208,True,1,7,235.31,0
TXN-00000158,C-2912,2026-06-04T14:18:52.946905,102.28,retail,-18.2737,89.1176,DEV-07180,False,2,13,24.03,0
TXN-00000159,C-3356,2026-07-30T15:18:52.946905,140.03,digital,62.8868,-153.3311,DEV-00411,False,3,14,136.33,0
TXN-00000160,C-3986,2026-06-24T15:18:52.946905,189.69,utilities,71.1698,-134.2497,DEV-01861,True,4,6,74.85,0
TXN-00000161,C-1417,2026-06-03T07:18:52.946905,32.19,retail,-43.4195,-126.6274,DEV-01146,False,1,9,63.52,0
TXN-00000162,C-1783,2026-05-26T10:18:52.946905,63.62,retail,-68.9966,89.3651,DEV-06451,True,3,2,19.57,0
TXN-00000163,C-2117,2026-06-24T01:18:52.946905,23.07,food,-67.2553,-172.5968,DEV-04931,True,2,12,1.5,0
TXN-00000164,C-3865,2026-07-15T04:18:52.946905,136.09,utilities,80.709,171.8374,DEV-06243,False,2,3,41.34,0
TXN-00000165,C-3677,2026-07-10T03:18:52.946905,89.1,food,-56.5227,7.1148,DEV-09622,False,1,12,24.53,0
TXN-00000166,C-0366,2026-08-12T19:18:52.946905,61.0,retail,-71.7461,-68.6537,DEV-03418,True,4,4,62.17,0
TXN-00000167,C-4194,2026-05-19T07:18:52.946905,79.47,retail,-15.1707,80.574,DEV-09904,False,4,6,45.19,0
TXN-00000168,C-4523,2026-05-24T20:18:52.946905,103.64,food,79.4238,-127.3744,DEV-08186,True,3,2,3.7,0
TXN-00000169,C-0364,2026-06-15T11:18:52.946905,29.98,digital,16.0739,-151.406,DEV-08381,False,2,9,8.25,0
TXN-00000170,C-2204,2026-08-03T22:18:52.946905,71.93,food,-58.5002,29.6078,DEV-01732,False,4,9,20.23,1
TXN-00000171,C-2760,2026-08-04T05:18:52.946905,90.38,utilities,-66.3675,156.3026,DEV-05611,True,2,6,9.58,0
TXN-00000172,C-3903,2026-08-05T11:18:52.946905,60.9,food,19.5752,107.9929,DEV-09132,True,4,9,4.27,0
TXN-00000173,C-3508,2026-05-25T05:18:52.946905,41.94,retail,62.2381,138.3405,DEV-08808,True,1,4,204.62,0
TXN-00000174,C-3061,2026-07-02T17:18:52.946905,59.03,digital,-43.1671,-12.5247,DEV-02014,False,2,11,48.39,0
TXN-00000175,C-3520,2026-07-30T20:18:52.946905,66.63,retail,-59.9714,-72.5114,DEV-06808,True,2,11,22.09,0
TXN-00000176,C-0370,2026-06-07T03:18:52.946905,472.0,digital,-30.9794,-71.4458,DEV-08212,False,1,13,40.57,0
TXN-00000177,C-0769,2026-08-08T12:18:52.946905,136.65,travel,-81.0352,-67.6835,DEV-03874,True,1,2,44.53,0
TXN-00000178,C-4672,2026-08-02T10:18:52.946905,161.78,retail,80.3311,140.4445,DEV-01460,True,1,4,50.08,1
TXN-00000179,C-0635,2026-06-13T20:18:52.946905,302.57,food,89.2164,143.896,DEV-05798,False,3,1,88.26,0
TXN-00000180,C-3774,2026-06-04T19:18:52.946905,212.34,travel,-76.6943,65.5517,DEV-07930,False,1,7,20.62,0
TXN-00000181,C-0428,2026-07-16T01:18:52.946905,8.73,travel,2.2025,29.8001,DEV-01279,True,1,5,0.27,0
TXN-00000182,C-2343,2026-07-11T16:18:52.946905,1.53,utilities,-82.4744,-125.5946,DEV-09328,False,2,4,136.47,1
TXN-00000183,C-0387,2026-05-28T23:18:52.946905,64.11,food,-41.9174,104.0131,DEV-04881,True,4,10,43.3,0
TXN-00000184,C-3757,2026-07-09T05:18:52.946905,13.13,retail,-30.7031,12.3765,DEV-07696,False,1,8,22.01,0
TXN-00000185,C-1728,2026-06-12T21:18:52.946905,6.37,retail,-12.4226,-19.4066,DEV-01452,False,4,8,93.23,0
TXN-00000186,C-3587,2026-06-04T16:18:52.946905,25.85,digital,-36.3988,-141.4169,DEV-09630,True,2,14,10.48,0
TXN-00000187,C-1987,2026-08-18T06:18:52.946905,53.18,retail,80.1512,8.3332,DEV-07794,True,2,4,31.26,0
TXN-00000188,C-1158,2026-07-12T13:18:52.946905,30.99,food,-72.4661,141.2899,DEV-01395,True,4,10,73.82,0
TXN-00000189,C-2268,2026-06-24T23:18:52.946905,25.2,utilities,49.1209,-6.3388,DEV-05399,True,4,8,80.44,0
TXN-00000190,C-1698,2026-07-02T15:18:52.946905,51.35,utilities,-13.3057,-100.205,DEV-02200,True,1,1,79.97,0
TXN-00000191,C-4475,2026-06-23T12:18:52.946905,93.17,utilities,-38.552,129.3329,DEV-05934,False,3,4,23.2,0
TXN-00000192,C-4890,2026-06-23T11:18:52.946905,45.85,retail,-26.138,-37.7277,DEV-08878,False,4,8,25.07,0
TXN-00000193,C-1862,2026-08-08T07:18:52.946905,47.2,retail,86.9543,40.2177,DEV-00771,True,2,9,11.64,0
TXN-00000194,C-1966,2026-07-07T22:18:52.946905,1.07,retail,-79.3747,113.1204,DEV-02762,True,2,1,32.91,0
TXN-00000195,C-2842,2026-07-24T01:18:52.946905,210.87,digital,9.2212,-35.7967,DEV-02384,True,1,3,86.46,0
TXN-00000196,C-1213,2026-06-06T13:18:52.946905,116.32,travel,-35.5041,-167.5231,DEV-03166,False,4,1,3.77,0
TXN-00000197,C-0838,2026-08-10T17:18:52.946905,87.9,retail,-30.4785,-108.3449,DEV-03888,True,4,10,41.8,0
TXN-00000198,C-4210,2026-07-31T14:18:52.946905,88.31,retail,85.5076,-158.7561,DEV-06155,True,2,10,11.38,0
TXN-00000199,C-4924,2026-08-09T05:18:52.946905,66.25,retail,28.3055,169.3002,DEV-03846,False,3,10,7.94,0
TXN-00000200,C-3395,2026-07-12T03:18:52.946905,1.57,utilities,21.9793,-21.8735,DEV-01762,True,1,5,47.62,0
TXN-00000201,C-2267,2026-07-29T10:18:52.946905,98.67,retail,-10.7524,-51.7863,DEV-07115,False,3,3,153.39,0
TXN-00000202,C-4307,2026-05-26T19:18:52.946905,38.64,digital,-26.3361,176.2718,DEV-09620,False,3,2,13.22,0
TXN-00000203,C-3177,2026-06-13T22:18:52.946905,39.4,food,37.4203,166.7601,DEV-09027,False,2,8,65.09,0
TXN-00000204,C-1287,2026-07-01T12:18:52.946905,2.07,digital,-73.5361,37.9015,DEV-04243,True,3,6,6.31,0
TXN-00000205,C-2198,2026-07-28T05:18:52.946905,3.59,food,52.0526,120.5119,DEV-03939,True,1,14,48.07,0
TXN-00000206,C-1859,2026-06-30T11:18:52.946905,52.54,retail,-67.393,170.0428,DEV-03864,False,1,1,33.39,0
TXN-00000207,C-3729,2026-05-23T13:18:52.946905,7.94,utilities,-0.201,-123.9767,DEV-03268,False,4,14,111.98,0
TXN-00000208,C-0923,2026-07-26T01:18:52.946905,121.57,utilities,-13.8314,-160.6369,DEV-07352,False,2,14,20.65,0
TXN-00000209,C-2026,2026-06-22T03:18:52.946905,2.81,utilities,-42.9986,131.4983,DEV-09797,False,3,6,38.7,0
TXN-00000210,C-3391,2026-06-23T10:18:52.946905,4.49,retail,-84.5586,25.0452,DEV-07277,True,4,13,59.83,0
