customer_id,name,segment,tenure_months,monthly_charges,total_charges,credit_limit,credit_utilization,education,marital_status,age,phone_service,internet_service,contract_type,payment_method,churn_flag,default_flag
C-0037,Customer 37,sme,6,20.09,6827.8,10000,0.13,Masters,Single,25,No,DSL,One year,Credit card,0,0
C-0038,Customer 38,retail,23,42.79,6240.02,5000,0.19,Bachelors,Single,23,Yes,No,Month-to-month,Bank transfer,0,1
C-0039,Customer 39,retail,1,46.68,1501.85,5000,0.53,PhD,Single,77,No,DSL,Month-to-month,Credit card,0,1
C-0040,Customer 40,enterprise,21,113.43,6668.27,1000,0.16,PhD,Married,74,No,DSL,One year,Bank transfer,0,1
C-0041,Customer 41,enterprise,62,104.45,7185.87,1000,0.42,Bachelors,Married,37,Yes,DSL,Two year,Mailed check,0,1
C-0042,Customer 42,retail,47,61.11,5405.2,10000,0.69,Bachelors,Single,36,No,DSL,One year,Mailed check,0,0
C-0043,Customer 43,enterprise,26,30.31,4368.15,50000,0.48,High School,Single,25,No,No,Two year,Bank transfer,0,0
C-0044,Customer 44,retail,35,119.98,6189.04,50000,0.36,High School,Married,26,Yes,No,Two year,Electronic check,0,0
C-0045,Customer 45,retail,14,138.59,2084.25,50000,0.74,PhD,Single,64,No,Fiber optic,Two year,Bank transfer,0,1
C-0046,Customer 46,retail,39,60.34,6839.78,50000,0.19,PhD,Married,75,Yes,DSL,Month-to-month,Electronic check,1,0
C-0047,Customer 47,retail,2,100.41,5686.32,10000,0.79,Bachelors,Single,69,Yes,No,Two year,Bank transfer,0,1
C-0048,Customer 48,sme,16,77.83,7152.29,1000,0.37,Bachelors,Married,44,No,DSL,Two year,Mailed check,1,1
C-0049,Customer 49,retail,52,141.05,7902.28,5000,0.29,High School,Married,24,Yes,Fiber optic,One year,Mailed check,0,1
C-0050,Customer 50,enterprise,61,31.77,1967.43,10000,0.57,Bachelors,Single,45,No,No,Month-to-month,Electronic check,1,0
C-0051,Customer 51,sme,56,91.73,6219.84,1000,0.52,Bachelors,Married,35,No,No,One year,Mailed check,1,1
C-0052,Customer 52,enterprise,38,105.04,5634.48,10000,0.49,PhD,Married,29,Yes,DSL,Two year,Credit card,0,0
C-0053,Customer 53,retail,42,47.32,2933.57,1000,0.18,Masters,Single,67,Yes,No,Two year,Credit card,0,1
C-0054,Customer 54,sme,35,86.91,2258.15,50000,0.19,PhD,Married,40,Yes,Fiber optic,Two year,Credit card,0,0
C-0055,Customer 55,retail,28,79.29,1004.64,10000,0.25,High School,Married,40,Yes,DSL,Two year,Mailed check,1,1
C-0056,Customer 56,retail,25,96.77,7169.48,5000,0.14,High School,Single,71,Yes,Fiber optic,Month-to-month,Electronic check,0,1
C-0057,Customer 57,retail,16,116.18,7179.95,50000,0.45,Masters,Married,53,No,Fiber optic,One year,Bank transfer,0,0
C-0058,Customer 58,enterprise,43,118.32,3342.45,5000,0.29,Bachelors,Single,60,No,No,One year,Credit card,0,1
C-0059,Customer 59,enterprise,10,130.03,5281.78,50000,0.3,Masters,Single,43,Yes,Fiber optic,Month-to-month,Bank transfer,0,1
C-0060,Customer 60,enterprise,16,126.8,7719.76,50000,0.38,Masters,Married,48,No,No,Month-to-month,Mailed check,0,0
C-0061,Customer 61,enterprise,41,24.01,6236.32,10000,0.14,Masters,Single,23,Yes,No,Month-to-month,Credit card,0,0
C-0062,Customer 62,sme,66,119.9,694.93,50000,0.68,Bachelors,Married,30,No,DSL,Two year,Credit card,0,0
C-0063,Customer 63,sme,32,130.35,4243.9,10000,0.1,Masters,Single,39,Yes,DSL,Two year,Bank transfer,0,1
C-0064,Customer 64,sme,62,60.21,7094.83,50000,0.89,Bachelors,Married,43,Yes,No,Month-to-month,Credit card,1,0
C-0065,Customer 65,enterprise,67,129.43,1035.14,1000,0.27,High School,Single,58,Yes,No,One year,Credit card,0,1
C-0066,Customer 66,retail,31,77.34,6118.06,5000,0.19,Bachelors,Married,73,No,DSL,Two year,Mailed check,0,0
C-0067,Customer 67,enterprise,10,30.95,7046.87,10000,0.3,Masters,Married,35,No,Fiber optic,One year,Mailed check,1,1
C-0068,Customer 68,sme,36,136.01,7940.96,5000,0.39,High School,Single,50,Yes,Fiber optic,Month-to-month,Bank transfer,1,1
C-0069,Customer 69,enterprise,24,97.81,7283.39,50000,0.73,PhD,Single,39,No,DSL,Month-to-month,Electronic check,0,0
C-0070,Customer 70,sme,63,63.18,5574.39,10000,0.9,High School,Single,63,Yes,No,Month-to-month,Mailed check,0,0
C-0071,Customer 71,retail,38,123.36,7139.61,5000,0.83,Masters,Married,72,Yes,DSL,Two year,Bank transfer,0,1
C-0072,Customer 72,sme,7,78.07,1017.58,50000,0.43,PhD,Married,26,Yes,No,One year,Credit card,0,0
C-0073,Customer 73,sme,50,64.88,3605.39,5000,0.75,Masters,Married,55,Yes,No,Month-to-month,Bank transfer,0,1
C-0074,Customer 74,enterprise,6,113.55,2659.85,5000,0.28,PhD,Married,25,No,Fiber optic,One year,Bank transfer,1,1
C-0075,Customer 75,enterprise,23,96.69,7024.11,10000,0.65,PhD,Single,49,No,Fiber optic,One year,Electronic check,0,1
C-0076,Customer 76,retail,53,37.47,3113.61,5000,0.32,High School,Single,79,Yes,Fiber optic,Two year,Electronic check,0,0
C-0077,Customer 77,enterprise,58,106.41,7532.87,50000,0.31,Masters,Married,28,No,Fiber optic,One year,Credit card,0,0
C-0078,Customer 78,retail,32,77.55,7319.85,50000,0.69,High School,Single,32,Yes,Fiber optic,Two year,Electronic check,0,0
C-0079,Customer 79,retail,39,44.99,7792.35,50000,0.33,PhD,Single,35,No,No,Two year,Mailed check,0,0
C-0080,Customer 80,retail,18,22.65,2613.14,10000,0.73,High School,Single,78,No,DSL,One year,Electronic check,0,1
C-0081,Customer 81,retail,44,91.78,209.5,50000,0.4,PhD,Single,39,Yes,No,Two year,Credit card,0,0
C-0082,Customer 82,sme,14,60.22,5733.18,5000,0.13,Masters,Single,73,No,Fiber optic,Month-to-month,Mailed check,0,1
C-0083,Customer 83,enterprise,25,143.31,7985.54,50000,0.81,Bachelors,Single,44,Yes,No,Month-to-month,Bank transfer,0,1
C-0084,Customer 84,sme,15,128.48,6315.15,1000,0.63,PhD,Single,58,Yes,DSL,Two year,Electronic check,1,1
C-0085,Customer 85,retail,6,147.21,1630.9,50000,0.6,High School,Married,70,No,DSL,Month-to-month,Electronic check,1,1
C-0086,Customer 86,retail,71,64.98,1991.11,5000,0.48,Bachelors,Married,52,Yes,No,Month-to-month,Bank transfer,0,1
C-0087,Customer 87,enterprise,3,76.87,7219.1,5000,0.53,Masters,Married,58,No,No,Two year,Credit card,0,1
C-0088,Customer 88,sme,42,96.63,7598.14,5000,0.36,High School,Married,61,Yes,Fiber optic,Two year,Mailed check,0,1
C-0089,Customer 89,enterprise,14,149.53,3026.83,10000,0.55,High School,Single,47,Yes,No,Month-to-month,Bank transfer,0,1
C-0090,Customer 90,enterprise,34,144.73,6250.66,50000,0.19,PhD,Single,47,Yes,No,Month-to-month,Credit card,0,0
C-0091,Customer 91,enterprise,5,54.69,1020.55,10000,0.35,PhD,Single,43,Yes,DSL,Month-to-month,Bank transfer,0,1
C-0092,Customer 92,sme,30,82.2,378.99,50000,0.57,Masters,Married,22,No,DSL,Two year,Electronic check,0,0
C-0093,Customer 93,sme,28,106.03,5567.3,1000,0.24,High School,Single,47,No,No,One year,Bank transfer,1,1
C-0094,Customer 94,enterprise,9,46.17,3930.54,50000,0.17,High School,Married,54,Yes,Fiber optic,One year,Mailed check,1,0
C-0095,Customer 95,retail,20,149.97,1870.49,10000,0.76,High School,Married,18,No,Fiber optic,Month-to-month,Mailed check,0,1
C-0096,Customer 96,sme,19,142.43,6065.22,10000,0.43,PhD,Married,24,No,Fiber optic,Month-to-month,Electronic check,1,1
C-0097,Customer 97,sme,25,107.34,1638.67,5000,0.28,Masters,Single,18,No,DSL,One year,Electronic check,1,1
C-0098,Customer 98,retail,27,121.47,188.35,10000,0.65,Bachelors,Single,46,No,DSL,Two year,Mailed check,0,1
C-0099,Customer 99,retail,10,117.59,6645.5,50000,0.66,High School,Single,60,Yes,Fiber optic,Month-to-month,Mailed check,0,0
C-0100,Customer 100,sme,38,65.05,3675.85,5000,0.8,High School,Married,35,Yes,No,One year,Bank transfer,0,1
C-0101,Customer 101,retail,15,66.7,6335.1,1000,0.3,High School,Single,32,No,Fiber optic,Month-to-month,Credit card,1,1
C-0102,Customer 102,retail,21,25.38,3636.24,5000,0.88,High School,Married,42,No,Fiber optic,Month-to-month,Credit card,0,1
C-0103,Customer 103,retail,9,26.81,6917.41,1000,0.35,PhD,Single,21,Yes,No,One year,Credit card,0,1
C-0104,Customer 104,sme,25,21.13,6721.53,50000,0.55,Bachelors,Single,23,Yes,No,Month-to-month,Mailed check,0,0
C-0105,Customer 105,retail,8,23.46,1726.34,50000,0.42,Bachelors,Single,29,No,Fiber optic,One year,Mailed check,0,0
C-0106,Customer 106,enterprise,57,57.39,3657.22,1000,0.43,PhD,Married,35,No,DSL,One year,Electronic check,0,1
C-0107,Customer 107,retail,36,149.28,4490.5,1000,0.78,PhD,Married,47,No,DSL,Two year,Electronic check,0,1
C-0108,Customer 108,sme,40,144.02,2544.23,10000,0.2,Masters,Married,42,Yes,Fiber optic,One year,Electronic check,0,1
C-0109,Customer 109,retail,15,83.75,7295.19,1000,0.89,PhD,Single,32,Yes,DSL,Month-to-month,Bank transfer,1,1
C-0110,Customer 110,retail,45,121.79,4418.07,5000,0.75,Bachelors,Single,57,Yes,No,Month-to-month,Mailed check,1,1
C-0111,Customer 111,sme,25,59.06,2804.39,1000,0.89,PhD,Single,22,Yes,No,Month-to-month,Bank transfer,1,1
C-0112,Customer 112,sme,4,142.83,1035.34,1000,0.33,Masters,Single,23,No,Fiber optic,One year,Credit card,0,1
C-0113,Customer 113,enterprise,54,49.98,6969.59,1000,0.24,Masters,Married,26,No,Fiber optic,Month-to-month,Bank transfer,0,1
C-0114,Customer 114,sme,68,43.82,1303.02,10000,0.58,Masters,Single,50,Yes,Fiber optic,Month-to-month,Electronic check,0,1
C-0115,Customer 115,retail,40,63.75,1093.97,1000,0.11,Masters,Married,33,Yes,No,Month-to-month,Mailed check,1,1
C-0116,Customer 116,enterprise,30,134.42,7929.02,10000,0.25,PhD,Single,54,Yes,No,Two year,Bank transfer,0,0
C-0117,Customer 117,sme,66,63.08,1072.73,1000,0.41,PhD,Single,67,Yes,No,Month-to-month,Electronic check,0,1
C-0118,Customer 118,enterprise,71,114.32,1358.42,1000,0.36,Bachelors,Married,27,No,Fiber optic,One year,Electronic check,1,1
C-0119,Customer 119,sme,11,75.76,526.73,10000,0.21,Bachelors,Single,65,No,Fiber optic,Two year,Credit card,1,1
C-0120,Customer 120,sme,32,52.66,6714.37,10000,0.1,Masters,Single,53,No,Fiber optic,Month-to-month,Electronic check,0,0
C-0121,Customer 121,retail,43,67.82,5858.9,10000,0.61,High School,Married,61,No,Fiber optic,Two year,Mailed check,1,1
C-0122,Customer 122,enterprise,38,144.8,6356.2,5000,0.5,High School,Single,30,Yes,No,Two year,Bank transfer,0,1
C-0123,Customer 123,enterprise,9,114.96,5348.88,5000,0.8,High School,Married,31,No,DSL,Month-to-month,Mailed check,1,1
C-0124,Customer 124,enterprise,10,112.8,6332.64,5000,0.66,High School,Married,72,No,No,Two year,Credit card,0,1
C-0125,Customer 125,retail,44,45.6,6163.92,1000,0.15,High School,Married,25,Yes,No,Month-to-month,Mailed check,1,1
C-0126,Customer 126,sme,31,24.44,2067.73,10000,0.27,High School,Single,27,No,DSL,Two year,Electronic check,1,0
C-0127,Customer 127,retail,67,101.93,6683.11,5000,0.58,High School,Single,47,Yes,No,Month-to-month,Bank transfer,0,1
C-0128,Customer 128,retail,57,73.55,4983.84,1000,0.24,Masters,Married,78,No,DSL,Two year,Mailed check,0,1
C-0129,Customer 129,enterprise,10,75.71,7252.59,1000,0.55,Bachelors,Married,47,No,DSL,Two year,Mailed check,0,1
C-0130,Customer 130,enterprise,43,66.47,3976.47,10000,0.62,PhD,Single,21,Yes,DSL,Two year,Electronic check,0,1
C-0131,Customer 131,retail,38,113.4,1864.45,5000,0.59,PhD,Single,54,Yes,Fiber optic,Two year,Bank transfer,0,1
C-0132,Customer 132,sme,18,138.64,7505.47,5000,0.78,PhD,Single,48,No,Fiber optic,One year,Electronic check,0,1
C-0133,Customer 133,retail,8,51.75,4181.23,10000,0.17,Masters,Married,65,No,Fiber optic,Two year,Mailed check,0,1
C-0134,Customer 134,enterprise,25,97.02,509.35,10000,0.35,PhD,Single,46,No,DSL,Month-to-month,Electronic check,0,0
C-0135,Customer 135,retail,10,143.6,1348.2,50000,0.64,High School,Married,55,No,No,Month-to-month,Credit card,1,1
C-0136,Customer 136,sme,23,29.84,4547.65,10000,0.63,Bachelors,Single,58,Yes,Fiber optic,Two year,Electronic check,0,1
C-0137,Customer 137,retail,34,129.04,7045.22,5000,0.11,Masters,Married,21,No,Fiber optic,Two year,Electronic check,0,1
C-0138,Customer 138,sme,68,41.42,5448.54,50000,0.83,Masters,Married,25,Yes,No,Month-to-month,Bank transfer,1,0
C-0139,Customer 139,retail,49,68.18,4495.2,10000,0.35,Masters,Single,69,No,DSL,One year,Electronic check,0,0
C-0140,Customer 140,enterprise,42,76.67,5777.16,5000,0.47,PhD,Single,43,No,DSL,One year,Bank transfer,1,1
C-0141,Customer 141,sme,34,20.15,1996.72,1000,0.77,High School,Single,44,No,No,Month-to-month,Electronic check,1,1
C-0142,Customer 142,enterprise,67,102.75,5265.97,5000,0.38,Masters,Married,54,No,No,Two year,Credit card,0,1
C-0143,Customer 143,retail,42,63.08,1588.83,1000,0.87,Bachelors,Married,44,No,DSL,Month-to-month,Mailed check,1,1
C-0144,Customer 144,sme,1,66.6,3055.98,5000,0.44,High School,Married,22,Yes,No,Two year,Bank transfer,0,1
C-0145,Customer 145,sme,53,96.44,7152.71,10000,0.6,High School,Single,53,Yes,Fiber optic,One year,Credit card,1,0
C-0146,Customer 146,sme,32,50.26,6056.96,10000,0.41,PhD,Married,20,Yes,DSL,Two year,Bank transfer,0,0
C-0147,Customer 147,sme,39,72.83,6796.88,1000,0.77,High School,Married,25,Yes,DSL,Month-to-month,Bank transfer,1,1
C-0148,Customer 148,retail,30,121.02,4201.65,10000,0.76,Masters,Single,19,No,No,Month-to-month,Bank transfer,1,1
C-0149,Customer 149,sme,7,133.03,6697.84,10000,0.63,Masters,Single,54,Yes,No,Two year,Credit card,0,1
C-0150,Customer 150,sme,15,45.19,4687.93,5000,0.33,High School,Married,40,Yes,DSL,One year,Bank transfer,0,1
C-0151,Customer 151,retail,26,40.24,2886.79,5000,0.43,Bachelors,Married,67,No,DSL,Month-to-month,Electronic check,1,1
C-0152,Customer 152,enterprise,57,40.32,5214.54,5000,0.23,PhD,Single,31,No,Fiber optic,Two year,Credit card,1,1
C-0153,Customer 153,retail,46,142.69,3235.35,50000,0.3,Masters,Single,25,No,Fiber optic,Month-to-month,Electronic check,1,0
C-0154,Customer 154,sme,1,23.89,7814.82,5000,0.51,Masters,Single,40,No,Fiber optic,Two year,Credit card,0,0
C-0155,Customer 155,retail,68,44.49,1015.96,1000,0.31,Masters,Single,57,Yes,No,Month-to-month,Mailed check,0,1
C-0156,Customer 156,sme,1,33.56,3013.96,50000,0.82,Bachelors,Married,41,No,Fiber optic,One year,Mailed check,0,0
C-0157,Customer 157,sme,19,140.33,3362.93,5000,0.18,PhD,Married,31,Yes,Fiber optic,Month-to-month,Bank transfer,1,1
C-0158,Customer 158,retail,1,117.67,1105.16,10000,0.59,High School,Single,48,No,DSL,One year,Mailed check,1,1
C-0159,Customer 159,sme,42,40.26,6288.12,10000,0.42,Bachelors,Single,73,Yes,No,Month-to-month,Mailed check,0,1
C-0160,Customer 160,retail,15,89.61,1561.72,10000,0.18,Masters,Single,39,Yes,No,Month-to-month,Mailed check,0,1
C-0161,Customer 161,sme,58,85.76,1606.07,50000,0.49,Masters,Married,42,No,DSL,One year,Credit card,0,0
C-0162,Customer 162,retail,5,48.43,6697.28,5000,0.36,Bachelors,Married,29,Yes,Fiber optic,One year,Credit card,0,0
C-0163,Customer 163,enterprise,21,98.51,2518.55,50000,0.12,Bachelors,Married,33,Yes,No,One year,Credit card,1,0
C-0164,Customer 164,retail,1,108.75,5945.4,5000,0.73,Bachelors,Married,36,No,DSL,Two year,Mailed check,0,1
C-0165,Customer 165,retail,11,130.78,3182.14,1000,0.15,Masters,Married,78,No,DSL,Month-to-month,Bank transfer,0,1
C-0166,Customer 166,retail,3,61.36,2414.04,50000,0.19,Bachelors,Single,25,Yes,No,Month-to-month,Electronic check,0,0
C-0167,Customer 167,sme,33,141.02,3583.64,5000,0.5,PhD,Married,67,Yes,DSL,One year,Bank transfer,0,1
C-0168,Customer 168,retail,47,69.45,4125.63,5000,0.86,Bachelors,Single,30,Yes,Fiber optic,Two year,Credit card,0,1
C-0169,Customer 169,enterprise,20,29.05,6431.18,5000,0.12,Bachelors,Single,20,Yes,DSL,One year,Electronic check,0,1
C-0170,Customer 170,enterprise,57,115.03,7083.54,50000,0.81,High School,Married,60,No,DSL,Month-to-month,Credit card,1,0
C-0171,Customer 171,retail,27,148.28,2513.95,50000,0.54,PhD,Single,79,Yes,DSL,Two year,Bank transfer,0,1
C-0172,Customer 172,retail,70,125.11,7699.63,1000,0.84,PhD,Married,34,No,DSL,One year,Mailed check,1,1
C-0173,Customer 173,sme,50,67.75,4538.38,50000,0.56,Bachelors,Single,41,Yes,DSL,Two year,Mailed check,0,0
C-0174,Customer 174,enterprise,39,119.33,2062.16,10000,0.54,Bachelors,Married,57,Yes,No,Month-to-month,Bank transfer,0,1
C-0175,Customer 175,sme,53,118.41,5552.47,50000,0.33,Bachelors,Married,38,Yes,DSL,Two year,Bank transfer,0,1
C-0176,Customer 176,enterprise,53,137.41,1277.51,1000,0.34,Bachelors,Single,51,No,Fiber optic,Two year,Mailed check,0,1
C-0177,Customer 177,enterprise,4,40.46,2640.2,1000,0.85,Bachelors,Single,22,No,No,Two year,Bank transfer,0,1
C-0178,Customer 178,retail,58,92.37,220.6,10000,0.13,Bachelors,Single,59,No,No,Month-to-month,Credit card,1,0
C-0179,Customer 179,enterprise,1,44.6,4356.32,10000,0.83,PhD,Single,23,Yes,No,Two year,Credit card,0,1
C-0180,Customer 180,retail,31,20.61,2291.63,1000,0.4,Masters,Single,50,No,Fiber optic,Month-to-month,Mailed check,1,1
C-0181,Customer 181,sme,27,113.5,1405.53,10000,0.49,Bachelors,Married,73,No,DSL,Two year,Credit card,0,1
C-0182,Customer 182,sme,43,28.63,7546.34,50000,0.65,PhD,Single,71,Yes,Fiber optic,Month-to-month,Mailed check,0,0
C-0183,Customer 183,retail,42,126.13,3416.82,10000,0.85,PhD,Single,26,No,DSL,One year,Bank transfer,0,1
C-0184,Customer 184,enterprise,47,59.31,2694.08,50000,0.16,High School,Married,47,Yes,No,One year,Credit card,0,1
C-0185,Customer 185,enterprise,26,104.85,4634.64,1000,0.52,PhD,Single,65,No,DSL,One year,Credit card,0,1
C-0186,Customer 186,retail,13,102.71,2216.83,5000,0.42,Bachelors,Married,25,No,Fiber optic,Two year,Credit card,0,1
C-0187,Customer 187,sme,21,117.12,1541.46,50000,0.81,PhD,Single,28,No,DSL,Month-to-month,Electronic check,1,0
C-0188,Customer 188,enterprise,45,31.94,5805.79,1000,0.36,Bachelors,Married,77,Yes,Fiber optic,Month-to-month,Electronic check,0,1
C-0189,Customer 189,sme,57,71.32,261.38,1000,0.13,Masters,Single,76,Yes,DSL,Two year,Mailed check,0,1
C-0190,Customer 190,retail,67,48.0,1502.5,50000,0.64,Masters,Single,40,No,Fiber optic,One year,Credit card,0,0
C-0191,Customer 191,enterprise,55,66.43,5815.61,50000,0.42,Bachelors,Single,28,No,No,Month-to-month,Credit card,1,1
C-0192,Customer 192,enterprise,3,135.61,6660.42,1000,0.55,PhD,Single,67,No,No,One year,Electronic check,0,1
C-0193,Customer 193,retail,55,41.9,2013.62,50000,0.3,Bachelors,Married,53,Yes,Fiber optic,Two year,Electronic check,0,0
C-0194,Customer 194,enterprise,4,143.33,5919.58,10000,0.11,Bachelors,Married,53,Yes,Fiber optic,One year,Mailed check,0,0
C-0195,Customer 195,sme,6,92.18,2595.99,50000,0.22,Bachelors,Married,45,Yes,No,Two year,Credit card,0,0
C-0196,Customer 196,enterprise,54,113.31,3977.1,1000,0.41,High School,Married,69,No,No,One year,Credit card,0,1
C-0197,Customer 197,sme,43,72.85,3247.48,1000,0.18,Bachelors,Single,42,No,DSL,Month-to-month,Mailed check,0,1
C-0198,Customer 198,sme,26,53.62,7943.4,1000,0.59,PhD,Single,72,No,No,Two year,Credit card,0,1
C-0199,Customer 199,retail,35,79.09,3806.33,10000,0.87,PhD,Married,58,Yes,DSL,Two year,Mailed check,0,1
C-0200,Customer 200,enterprise,61,54.12,591.54,1000,0.78,PhD,Married,30,Yes,Fiber optic,Month-to-month,Mailed check,1,1
C-0201,Customer 201,sme,48,56.28,2045.24,5000,0.16,Bachelors,Single,23,No,No,Month-to-month,Bank transfer,0,0
C-0202,Customer 202,enterprise,2,79.6,4365.65,50000,0.15,Bachelors,Married,71,No,Fiber optic,One year,Bank transfer,0,1
C-0203,Customer 203,sme,37,61.84,2288.5,10000,0.65,Masters,Single,53,No,DSL,Month-to-month,Bank transfer,0,1
C-0204,Customer 204,retail,11,26.38,3961.99,1000,0.38,PhD,Married,64,No,DSL,One year,Mailed check,0,1
C-0205,Customer 205,enterprise,8,122.05,1960.19,50000,0.4,Masters,Single,52,Yes,Fiber optic,One year,Bank transfer,0,0
C-0206,Customer 206,retail,54,56.45,3588.98,1000,0.25,PhD,Single,46,Yes,DSL,Two year,Credit card,0,1
C-0207,Customer 207,sme,23,109.37,4664.39,5000,0.8,Bachelors,Single,52,Yes,No,One year,Electronic check,0,1
C-0208,Customer 208,retail,10,52.93,4871.8,5000,0.64,Bachelors,Married,18,Yes,Fiber optic,One year,Mailed check,1,1
C-0209,Customer 209,sme,53,76.33,6702.29,5000,0.25,Bachelors,Single,29,No,Fiber optic,Two year,Credit card,1,1
C-0210,Customer 210,sme,61,77.3,5984.97,5000,0.6,Masters,Married,35,Yes,DSL,One year,Electronic check,0,1
C-0211,Customer 211,enterprise,37,147.92,284.66,10000,0.29,Masters,Single,41,Yes,Fiber optic,One year,Credit card,0,0
C-0212,Customer 212,enterprise,68,116.79,2805.42,1000,0.67,High School,Married,56,No,DSL,Two year,Bank transfer,0,1
C-0213,Customer 213,sme,19,119.65,4697.61,50000,0.54,PhD,Single,22,Yes,DSL,Month-to-month,Credit card,0,0
C-0214,Customer 214,retail,18,26.08,5906.57,10000,0.79,Bachelors,Single,48,No,Fiber optic,Month-to-month,Bank transfer,1,1
C-0215,Customer 215,enterprise,13,80.16,6993.69,5000,0.62,Masters,Married,74,Yes,DSL,One year,Electronic check,0,1
C-0216,Customer 216,enterprise,70,145.32,322.91,10000,0.73,High School,Single,25,No,DSL,Two year,Credit card,0,1
