event_id,timestamp,source_ip,dest_ip,protocol,service,duration,src_bytes,dst_bytes,attack_category,is_attack,severity
CYB-0000015,2026-08-16T23:18:53.555119,192.168.139.235,10.0.23.240,udp,dns,0.709,3170,3164,Normal,0,Low
CYB-0000016,2026-07-05T06:18:53.555119,192.168.161.124,10.0.237.229,tcp,ftp,7.498,8532,9284,Normal,0,Low
CYB-0000017,2026-06-18T02:18:53.555119,192.168.146.132,10.0.134.87,icmp,dns,4.479,5289,2252,Normal,0,Low
CYB-0000018,2026-06-16T15:18:53.555119,192.168.68.40,10.0.24.53,udp,ftp,6.45,244,3601,Exploits,1,High
CYB-0000019,2026-08-19T06:18:53.555119,192.168.110.133,10.0.233.70,icmp,http,0.864,7027,8023,Normal,0,Low
CYB-0000020,2026-07-26T09:18:53.555119,192.168.213.178,10.0.20.50,icmp,ftp,5.795,7614,8988,Normal,0,Low
CYB-0000021,2026-06-09T12:18:53.555119,192.168.120.76,10.0.211.160,tcp,http,2.583,7894,7550,Fuzzers,1,High
CYB-0000022,2026-07-11T03:18:53.555119,192.168.8.231,10.0.13.123,udp,dns,1.995,7278,6191,Normal,0,Low
CYB-0000023,2026-06-07T23:18:53.555119,192.168.85.179,10.0.201.20,tcp,dns,3.387,8643,1975,Generic,1,High
CYB-0000024,2026-07-20T11:18:53.555119,192.168.4.27,10.0.38.95,tcp,ftp,8.171,1275,8127,Normal,0,Low
CYB-0000025,2026-07-11T02:18:53.555119,192.168.215.45,10.0.241.166,icmp,ssh,3.705,4264,799,Normal,0,Low
CYB-0000026,2026-06-29T10:18:53.555119,192.168.89.66,10.0.230.180,tcp,ssh,0.223,6446,4732,Normal,0,Low
CYB-0000027,2026-06-29T00:18:53.555119,192.168.160.157,10.0.27.129,tcp,ftp,6.513,7486,9418,Normal,0,Low
CYB-0000028,2026-06-21T19:18:53.555119,192.168.219.245,10.0.163.196,udp,http,9.472,6246,828,Generic,1,High
CYB-0000029,2026-05-29T20:18:53.555119,192.168.132.33,10.0.196.202,tcp,ssh,6.592,6774,1482,Normal,0,Low
CYB-0000030,2026-06-27T13:18:53.555119,192.168.157.90,10.0.8.151,udp,ftp,4.199,1422,3785,Normal,0,Low
CYB-0000031,2026-05-19T19:18:53.555119,192.168.107.244,10.0.239.40,udp,dns,2.604,9727,7724,Normal,0,Low
CYB-0000032,2026-05-27T11:18:53.555119,192.168.208.59,10.0.100.144,tcp,ssh,7.99,6258,3201,Normal,0,Low
CYB-0000033,2026-07-09T19:18:53.555119,192.168.47.148,10.0.232.177,udp,http,9.63,4309,2243,Normal,0,Low
CYB-0000034,2026-07-11T05:18:53.555119,192.168.159.133,10.0.245.75,icmp,ssh,0.409,6552,6556,Normal,0,Low
CYB-0000035,2026-06-20T07:18:53.555119,192.168.67.116,10.0.162.246,tcp,ftp,8.554,4891,3839,Normal,0,Low
CYB-0000036,2026-06-17T05:18:53.555119,192.168.154.233,10.0.218.139,udp,ssh,3.461,354,7164,Normal,0,Low
CYB-0000037,2026-06-05T18:18:53.555119,192.168.65.52,10.0.220.158,tcp,http,0.114,978,7850,Normal,0,Low
CYB-0000038,2026-08-01T01:18:53.555119,192.168.140.177,10.0.9.242,udp,ssh,9.743,5838,3688,Normal,0,Low
CYB-0000039,2026-07-09T23:18:53.555119,192.168.180.129,10.0.150.41,tcp,ftp,7.498,609,7831,Normal,0,Low
CYB-0000040,2026-06-20T00:18:53.555119,192.168.70.151,10.0.209.97,udp,ftp,8.572,9494,5692,DoS,1,High
CYB-0000041,2026-06-12T11:18:53.555119,192.168.240.69,10.0.171.205,udp,dns,3.714,9935,4503,Normal,0,Low
CYB-0000042,2026-06-26T16:18:53.555119,192.168.86.238,10.0.9.73,tcp,dns,7.245,3365,8690,Normal,0,Low
CYB-0000043,2026-05-23T02:18:53.555119,192.168.17.147,10.0.39.94,tcp,ssh,6.26,9631,4808,Normal,0,Low
CYB-0000044,2026-08-11T07:18:53.555119,192.168.213.141,10.0.116.48,udp,ssh,8.768,1283,9251,Normal,0,Low
CYB-0000045,2026-08-12T02:18:53.555119,192.168.237.233,10.0.83.114,icmp,http,6.73,4975,7226,Normal,0,Low
CYB-0000046,2026-07-24T17:18:53.555119,192.168.241.46,10.0.196.26,icmp,ssh,4.277,8429,8399,Normal,0,Low
CYB-0000047,2026-05-18T05:18:53.555119,192.168.109.189,10.0.18.134,tcp,http,9.488,3034,4093,Normal,0,Low
CYB-0000048,2026-07-10T13:18:53.555119,192.168.181.31,10.0.89.250,icmp,http,2.55,380,1286,Normal,0,Low
CYB-0000049,2026-07-08T02:18:53.555119,192.168.160.161,10.0.23.56,icmp,dns,3.971,5942,6873,Normal,0,Low
CYB-0000050,2026-06-30T10:18:53.555119,192.168.157.138,10.0.57.128,udp,ftp,5.639,8633,1814,Normal,0,Low
CYB-0000051,2026-08-22T07:18:53.555119,192.168.210.162,10.0.147.19,icmp,dns,9.667,3909,9552,Normal,0,Low
CYB-0000052,2026-06-10T22:18:53.555119,192.168.183.126,10.0.77.100,icmp,dns,6.267,4600,1472,Normal,0,Low
CYB-0000053,2026-05-25T23:18:53.555119,192.168.75.2,10.0.154.152,icmp,ssh,7.128,2078,6832,Fuzzers,1,High
CYB-0000054,2026-08-05T04:18:53.555119,192.168.11.133,10.0.113.150,icmp,ssh,6.12,7281,1702,Normal,0,Low
CYB-0000055,2026-06-16T07:18:53.555119,192.168.97.217,10.0.157.157,tcp,dns,7.943,4336,3719,Normal,0,Low
CYB-0000056,2026-06-02T02:18:53.555119,192.168.230.116,10.0.40.66,tcp,dns,8.153,7039,6737,Normal,0,Low
CYB-0000057,2026-05-25T06:18:53.555119,192.168.133.33,10.0.76.74,tcp,ssh,3.045,2200,7650,Normal,0,Low
CYB-0000058,2026-07-03T03:18:53.555119,192.168.15.243,10.0.15.86,tcp,ssh,5.815,1948,6468,Normal,0,Low
CYB-0000059,2026-05-21T22:18:53.555119,192.168.159.247,10.0.147.101,tcp,ftp,3.991,2874,7087,Normal,0,Low
CYB-0000060,2026-05-17T05:18:53.555119,192.168.73.125,10.0.91.205,udp,ftp,7.914,5267,5200,Normal,0,Low
CYB-0000061,2026-06-16T20:18:53.555119,192.168.90.188,10.0.82.199,tcp,ssh,8.421,1088,5473,Normal,0,Low
CYB-0000062,2026-05-30T11:18:53.555119,192.168.139.210,10.0.63.126,udp,dns,2.624,8025,8841,Normal,0,Low
CYB-0000063,2026-08-11T15:18:53.555119,192.168.86.80,10.0.126.212,icmp,ftp,0.671,190,1417,Normal,0,Low
CYB-0000064,2026-05-27T06:18:53.555119,192.168.218.167,10.0.83.29,tcp,http,8.721,8903,7275,Normal,0,Low
CYB-0000065,2026-07-12T02:18:53.555119,192.168.44.244,10.0.73.134,icmp,dns,2.015,3513,5959,Normal,0,Low
CYB-0000066,2026-05-30T12:18:53.555119,192.168.141.36,10.0.228.54,tcp,http,2.125,1969,8997,Exploits,1,High
CYB-0000067,2026-06-30T16:18:53.555119,192.168.35.212,10.0.80.60,tcp,ssh,6.205,1339,2962,Normal,0,Low
CYB-0000068,2026-06-23T15:18:53.555119,192.168.197.240,10.0.16.207,udp,ftp,4.24,3947,2106,Normal,0,Low
CYB-0000069,2026-05-31T15:18:53.555119,192.168.97.243,10.0.242.2,tcp,ftp,9.832,7111,7783,DoS,1,High
CYB-0000070,2026-07-16T23:18:53.555119,192.168.112.171,10.0.68.68,tcp,ssh,7.459,7503,3682,Normal,0,Low
CYB-0000071,2026-06-29T21:18:53.555119,192.168.122.106,10.0.209.18,tcp,ssh,4.99,7082,6643,Normal,0,Low
CYB-0000072,2026-06-28T22:18:53.555119,192.168.161.28,10.0.12.37,tcp,dns,6.355,1146,5569,Normal,0,Low
CYB-0000073,2026-05-27T02:18:53.555119,192.168.182.226,10.0.148.68,udp,dns,3.639,2597,8324,Normal,0,Low
CYB-0000074,2026-06-09T06:18:53.555119,192.168.100.239,10.0.163.83,udp,dns,3.29,3828,2019,Normal,0,Low
CYB-0000075,2026-08-13T07:18:53.555119,192.168.41.29,10.0.179.239,tcp,ssh,8.507,6482,7995,Generic,1,High
CYB-0000076,2026-05-20T22:18:53.555119,192.168.68.8,10.0.17.45,tcp,dns,1.352,5916,1653,Normal,0,Low
CYB-0000077,2026-07-15T22:18:53.555119,192.168.167.57,10.0.3.193,udp,dns,2.907,920,9398,Normal,0,Low
CYB-0000078,2026-06-30T06:18:53.555119,192.168.175.220,10.0.14.213,tcp,http,6.748,2638,7781,Normal,0,Low
CYB-0000079,2026-06-25T11:18:53.555119,192.168.104.0,10.0.69.220,udp,ftp,7.703,2175,9542,Normal,0,Low
CYB-0000080,2026-07-15T19:18:53.555119,192.168.69.46,10.0.137.43,icmp,http,9.907,6101,8627,Normal,0,Low
CYB-0000081,2026-06-04T23:18:53.555119,192.168.247.230,10.0.61.228,udp,dns,6.677,6083,9211,Normal,0,Low
CYB-0000082,2026-07-13T10:18:53.555119,192.168.34.34,10.0.71.157,udp,http,1.705,6176,395,Normal,0,Low
CYB-0000083,2026-06-22T09:18:53.555119,192.168.229.164,10.0.209.149,udp,http,0.172,2076,9082,Normal,0,Low
CYB-0000084,2026-06-14T09:18:53.555119,192.168.188.92,10.0.10.53,tcp,ftp,4.208,198,3168,Normal,0,Low
CYB-0000085,2026-06-09T11:18:53.555119,192.168.202.239,10.0.124.189,tcp,ssh,3.332,2221,5132,Normal,0,Low
CYB-0000086,2026-06-01T15:18:53.555119,192.168.81.148,10.0.172.85,tcp,dns,4.304,2509,5074,Normal,0,Low
CYB-0000087,2026-07-12T00:18:53.555119,192.168.119.79,10.0.160.107,udp,ftp,3.963,7945,8703,Normal,0,Low
CYB-0000088,2026-08-01T17:18:53.555119,192.168.244.210,10.0.176.73,icmp,dns,5.437,3807,5764,Normal,0,Low
CYB-0000089,2026-07-03T03:18:53.555119,192.168.8.5,10.0.23.95,tcp,dns,1.517,7427,8044,Normal,0,Low
CYB-0000090,2026-08-14T21:18:53.555119,192.168.150.8,10.0.37.28,icmp,ssh,3.415,554,2451,Normal,0,Low
CYB-0000091,2026-05-19T03:18:53.555119,192.168.20.44,10.0.211.205,udp,dns,0.016,2500,9703,DoS,1,High
CYB-0000092,2026-08-09T11:18:53.555119,192.168.115.160,10.0.82.245,udp,dns,4.685,6013,6331,Normal,0,Low
CYB-0000093,2026-08-17T10:18:53.555119,192.168.45.15,10.0.193.146,tcp,http,2.791,7550,2641,Normal,0,Low
CYB-0000094,2026-06-06T07:18:53.555119,192.168.251.158,10.0.8.119,icmp,http,1.353,9148,5444,DoS,1,High
CYB-0000095,2026-08-15T03:18:53.555119,192.168.13.94,10.0.183.249,icmp,http,7.818,8725,3481,Normal,0,Low
CYB-0000096,2026-07-11T02:18:53.555119,192.168.214.165,10.0.173.66,icmp,dns,4.22,6023,7703,Normal,0,Low
CYB-0000097,2026-07-08T06:18:53.555119,192.168.103.51,10.0.130.185,icmp,http,0.647,1455,8897,Normal,0,Low
CYB-0000098,2026-05-17T01:18:53.555119,192.168.138.114,10.0.0.163,icmp,ssh,6.029,4947,5452,Generic,1,High
CYB-0000099,2026-07-04T12:18:53.555119,192.168.149.242,10.0.254.40,tcp,http,3.595,6221,3367,Normal,0,Low
CYB-0000100,2026-06-19T22:18:53.555119,192.168.89.12,10.0.115.3,tcp,ftp,7.706,4973,6160,Normal,0,Low
CYB-0000101,2026-07-04T05:18:53.555119,192.168.195.209,10.0.145.197,icmp,http,0.865,9080,643,Exploits,1,High
CYB-0000102,2026-07-27T19:18:53.555119,192.168.131.114,10.0.147.10,icmp,ssh,2.938,5587,3363,Normal,0,Low
CYB-0000103,2026-06-07T22:18:53.555119,192.168.154.78,10.0.173.64,icmp,ssh,9.455,1737,2245,Normal,0,Low
CYB-0000104,2026-08-08T00:18:53.555119,192.168.165.110,10.0.54.56,icmp,ssh,9.43,8470,4425,Normal,0,Low
CYB-0000105,2026-06-05T13:18:53.555119,192.168.107.82,10.0.222.90,icmp,ssh,8.976,7020,7444,Normal,0,Low
CYB-0000106,2026-06-16T23:18:53.555119,192.168.238.193,10.0.217.173,udp,http,7.884,5246,1073,Normal,0,Low
CYB-0000107,2026-07-25T16:18:53.555119,192.168.16.131,10.0.38.104,icmp,ftp,6.886,7125,8712,DoS,1,High
CYB-0000108,2026-06-14T04:18:53.555119,192.168.236.46,10.0.58.128,icmp,ssh,7.738,5784,8176,DoS,1,High
CYB-0000109,2026-07-05T02:18:53.555119,192.168.13.57,10.0.49.118,tcp,http,0.173,6954,6414,Normal,0,Low
CYB-0000110,2026-07-13T12:18:53.555119,192.168.111.250,10.0.31.179,icmp,ftp,1.7,609,8478,Normal,0,Low
CYB-0000111,2026-08-12T16:18:53.555119,192.168.88.236,10.0.67.247,icmp,ssh,4.636,3787,9777,Normal,0,Low
CYB-0000112,2026-05-21T03:18:53.555119,192.168.50.192,10.0.224.128,icmp,http,4.76,2793,6383,Normal,0,Low
CYB-0000113,2026-07-28T15:18:53.555119,192.168.113.78,10.0.189.40,udp,http,4.312,4656,6780,Normal,0,Low
CYB-0000114,2026-08-19T06:18:53.555119,192.168.81.144,10.0.125.242,icmp,dns,7.164,7842,2565,Normal,0,Low
CYB-0000115,2026-07-06T04:18:53.555119,192.168.178.23,10.0.69.95,icmp,http,3.409,3243,2202,Normal,0,Low
CYB-0000116,2026-06-05T05:18:53.555119,192.168.83.68,10.0.143.158,icmp,http,6.587,5721,9291,Normal,0,Low
CYB-0000117,2026-08-05T03:18:53.555119,192.168.163.238,10.0.39.90,icmp,dns,8.419,5407,8009,Normal,0,Low
CYB-0000118,2026-07-07T16:18:53.555119,192.168.231.127,10.0.91.249,udp,ftp,0.438,6928,4818,DoS,1,High
CYB-0000119,2026-05-24T13:18:53.555119,192.168.110.50,10.0.7.147,icmp,dns,2.224,1631,2405,Normal,0,Low
CYB-0000120,2026-06-20T01:18:53.555119,192.168.164.51,10.0.197.10,icmp,ftp,8.317,7223,7037,Exploits,1,High
CYB-0000121,2026-06-19T10:18:53.555119,192.168.62.136,10.0.135.200,udp,http,9.571,2247,4344,Normal,0,Low
CYB-0000122,2026-08-15T07:18:53.555119,192.168.191.96,10.0.110.195,icmp,ftp,8.076,7823,5740,Generic,1,High
CYB-0000123,2026-05-27T17:18:53.555119,192.168.141.252,10.0.21.29,udp,dns,4.029,7041,8228,Normal,0,Low
CYB-0000124,2026-07-03T17:18:53.555119,192.168.206.26,10.0.190.145,icmp,http,9.328,7128,3605,Normal,0,Low
CYB-0000125,2026-06-17T06:18:53.555119,192.168.68.63,10.0.48.178,udp,ftp,5.179,4664,4761,Normal,0,Low
CYB-0000126,2026-08-12T03:18:53.555119,192.168.43.187,10.0.151.215,tcp,ssh,5.26,4673,895,Normal,0,Low
CYB-0000127,2026-07-09T01:18:53.555119,192.168.74.42,10.0.4.98,icmp,dns,9.174,9244,7314,Exploits,1,High
CYB-0000128,2026-07-12T18:18:53.555119,192.168.30.21,10.0.60.56,icmp,dns,5.675,9975,3854,Normal,0,Low
CYB-0000129,2026-06-11T11:18:53.555119,192.168.214.224,10.0.39.182,icmp,ftp,3.424,515,2542,Normal,0,Low
CYB-0000130,2026-05-23T11:18:53.555119,192.168.210.189,10.0.89.188,udp,ssh,6.85,6504,8561,Normal,0,Low
CYB-0000131,2026-08-04T17:18:53.555119,192.168.153.74,10.0.237.86,tcp,http,4.924,1392,3398,Normal,0,Low
CYB-0000132,2026-08-09T21:18:53.555119,192.168.64.185,10.0.246.13,icmp,http,6.517,1653,6449,Normal,0,Low
CYB-0000133,2026-08-09T15:18:53.555119,192.168.27.83,10.0.162.21,tcp,dns,5.643,5903,1940,Normal,0,Low
CYB-0000134,2026-06-19T08:18:53.555119,192.168.165.34,10.0.160.118,icmp,ftp,6.185,6487,3805,Normal,0,Low
CYB-0000135,2026-06-02T23:18:53.555119,192.168.221.77,10.0.127.235,icmp,dns,2.276,5445,7329,Normal,0,Low
CYB-0000136,2026-07-21T17:18:53.555119,192.168.111.240,10.0.113.39,tcp,ftp,0.142,438,5935,Normal,0,Low
CYB-0000137,2026-05-30T04:18:53.555119,192.168.184.129,10.0.156.73,tcp,http,9.952,6116,4043,Normal,0,Low
CYB-0000138,2026-07-12T08:18:53.555119,192.168.250.104,10.0.204.121,udp,http,3.451,7595,4106,Normal,0,Low
CYB-0000139,2026-07-27T00:18:53.555119,192.168.216.132,10.0.97.145,udp,ftp,1.967,2056,6971,Normal,0,Low
CYB-0000140,2026-06-08T11:18:53.555119,192.168.241.151,10.0.183.39,udp,ftp,1.385,1700,1021,Normal,0,Low
CYB-0000141,2026-07-04T21:18:53.555119,192.168.130.165,10.0.78.110,icmp,http,6.815,3083,8382,Normal,0,Low
CYB-0000142,2026-08-06T16:18:53.555119,192.168.77.113,10.0.42.230,icmp,ftp,5.873,2800,7678,Normal,0,Low
CYB-0000143,2026-07-11T23:18:53.555119,192.168.51.39,10.0.74.103,icmp,http,9.893,9325,490,Normal,0,Low
CYB-0000144,2026-06-15T17:18:53.555119,192.168.217.176,10.0.251.60,icmp,ftp,7.272,8213,2508,Normal,0,Low
CYB-0000145,2026-07-10T03:18:53.555119,192.168.98.213,10.0.150.246,tcp,http,2.126,706,2977,Normal,0,Low
CYB-0000146,2026-06-30T02:18:53.555119,192.168.246.30,10.0.244.237,udp,dns,4.166,1643,3786,Normal,0,Low
CYB-0000147,2026-05-16T00:18:53.555119,192.168.150.47,10.0.158.175,udp,http,2.337,3129,9311,Normal,0,Low
CYB-0000148,2026-06-19T18:18:53.555119,192.168.37.234,10.0.48.87,udp,http,3.198,9165,8566,Normal,0,Low
CYB-0000149,2026-07-10T22:18:53.555119,192.168.64.5,10.0.96.151,tcp,http,6.137,142,4097,Normal,0,Low
CYB-0000150,2026-05-19T14:18:53.555119,192.168.208.224,10.0.253.252,udp,ssh,1.43,2910,9717,Normal,0,Low
CYB-0000151,2026-06-30T04:18:53.555119,192.168.154.112,10.0.172.132,udp,dns,6.655,5539,295,Normal,0,Low
CYB-0000152,2026-07-16T23:18:53.555119,192.168.118.173,10.0.25.205,tcp,http,8.553,8509,4951,Normal,0,Low
CYB-0000153,2026-05-24T12:18:53.555119,192.168.86.81,10.0.150.99,tcp,ftp,1.328,2520,491,Normal,0,Low
CYB-0000154,2026-05-29T23:18:53.555119,192.168.15.167,10.0.217.93,icmp,ftp,6.081,7650,9243,Normal,0,Low
CYB-0000155,2026-05-24T16:18:53.555119,192.168.246.197,10.0.105.162,tcp,ftp,6.522,6213,2862,Normal,0,Low
CYB-0000156,2026-06-08T09:18:53.555119,192.168.1.154,10.0.179.180,tcp,ftp,3.817,9509,5723,Normal,0,Low
CYB-0000157,2026-06-06T09:18:53.555119,192.168.23.110,10.0.44.210,icmp,http,9.427,3577,2487,Normal,0,Low
CYB-0000158,2026-06-15T21:18:53.555119,192.168.221.180,10.0.150.21,tcp,dns,2.034,6878,3052,Normal,0,Low
CYB-0000159,2026-07-07T11:18:53.555119,192.168.180.0,10.0.253.241,tcp,ssh,8.332,8771,9271,Exploits,1,High
CYB-0000160,2026-06-30T23:18:53.555119,192.168.5.36,10.0.235.235,udp,ftp,2.886,7852,876,Generic,1,High
CYB-0000161,2026-08-22T08:18:53.555119,192.168.18.38,10.0.183.194,tcp,http,8.253,1740,938,Normal,0,Low
CYB-0000162,2026-05-31T02:18:53.555119,192.168.41.159,10.0.254.77,icmp,ftp,9.434,7601,9683,Normal,0,Low
CYB-0000163,2026-06-06T06:18:53.555119,192.168.143.168,10.0.94.160,tcp,ftp,0.817,9821,3427,Normal,0,Low
CYB-0000164,2026-07-16T03:18:53.555119,192.168.231.161,10.0.145.152,udp,http,2.008,9877,2185,Normal,0,Low
CYB-0000165,2026-05-27T07:18:53.555119,192.168.206.118,10.0.42.223,udp,http,1.176,9449,7663,Normal,0,Low
CYB-0000166,2026-06-22T03:18:53.555119,192.168.132.214,10.0.83.239,udp,ftp,4.261,5955,2981,Normal,0,Low
CYB-0000167,2026-08-20T14:18:53.555119,192.168.117.88,10.0.120.192,udp,dns,1.077,7940,6747,Normal,0,Low
CYB-0000168,2026-05-24T14:18:53.555119,192.168.94.225,10.0.198.209,icmp,dns,9.43,2539,3560,Normal,0,Low
CYB-0000169,2026-06-26T05:18:53.555119,192.168.193.112,10.0.147.192,icmp,ftp,2.509,437,2535,Normal,0,Low
CYB-0000170,2026-06-27T03:18:53.555119,192.168.30.75,10.0.96.87,tcp,ftp,9.938,4360,9899,Normal,0,Low
CYB-0000171,2026-07-10T10:18:53.555119,192.168.205.130,10.0.127.24,udp,http,2.388,7773,2963,Normal,0,Low
CYB-0000172,2026-07-31T01:18:53.555119,192.168.226.196,10.0.136.189,icmp,dns,9.352,461,8728,Normal,0,Low
CYB-0000173,2026-08-02T01:18:53.555119,192.168.138.237,10.0.92.24,tcp,ssh,3.424,8269,368,Normal,0,Low
CYB-0000174,2026-06-05T04:18:53.555119,192.168.15.9,10.0.24.69,udp,http,1.947,2826,5554,Normal,0,Low
CYB-0000175,2026-07-24T19:18:53.555119,192.168.111.162,10.0.133.102,udp,ftp,7.383,1983,4499,Normal,0,Low
CYB-0000176,2026-06-29T03:18:53.555119,192.168.44.142,10.0.58.245,udp,ssh,7.26,6007,8517,Normal,0,Low
CYB-0000177,2026-05-24T19:18:53.555119,192.168.105.232,10.0.29.42,icmp,http,8.475,9243,9350,Normal,0,Low
CYB-0000178,2026-05-27T02:18:53.555119,192.168.89.240,10.0.115.91,udp,http,7.302,9195,8164,Normal,0,Low
CYB-0000179,2026-06-04T02:18:53.555119,192.168.191.129,10.0.226.209,icmp,http,3.151,5843,7898,DoS,1,High
CYB-0000180,2026-06-14T06:18:53.555119,192.168.249.56,10.0.76.120,icmp,http,9.424,577,1935,Normal,0,Low
CYB-0000181,2026-07-21T04:18:53.555119,192.168.43.171,10.0.38.219,icmp,http,2.643,4553,6400,Normal,0,Low
CYB-0000182,2026-08-01T13:18:53.555119,192.168.234.84,10.0.121.64,tcp,dns,3.063,5129,6332,Normal,0,Low
CYB-0000183,2026-08-07T10:18:53.555119,192.168.183.173,10.0.194.74,icmp,dns,0.669,5293,1370,Normal,0,Low
CYB-0000184,2026-08-09T21:18:53.555119,192.168.121.97,10.0.100.93,udp,ftp,7.671,9353,6360,Normal,0,Low
CYB-0000185,2026-07-29T19:18:53.555119,192.168.41.211,10.0.7.64,icmp,ssh,9.249,1398,6279,Normal,0,Low
CYB-0000186,2026-06-14T16:18:53.555119,192.168.190.46,10.0.213.153,udp,http,2.065,3135,9980,Normal,0,Low
CYB-0000187,2026-06-30T17:18:53.555119,192.168.151.232,10.0.186.105,tcp,ssh,1.082,7084,5935,Normal,0,Low
CYB-0000188,2026-06-16T07:18:53.555119,192.168.51.254,10.0.151.167,tcp,ftp,4.831,530,4474,Normal,0,Low
CYB-0000189,2026-08-19T19:18:53.555119,192.168.114.47,10.0.217.38,icmp,dns,0.219,9060,8371,Normal,0,Low
CYB-0000190,2026-07-23T09:18:53.555119,192.168.34.83,10.0.120.236,icmp,ssh,2.797,2813,7911,Normal,0,Low
CYB-0000191,2026-05-16T18:18:53.555119,192.168.204.23,10.0.148.238,udp,dns,6.425,5032,3370,Normal,0,Low
CYB-0000192,2026-08-10T20:18:53.555119,192.168.140.38,10.0.190.95,icmp,ftp,7.616,6625,6524,Fuzzers,1,High
CYB-0000193,2026-07-22T13:18:53.555119,192.168.108.93,10.0.78.75,tcp,ftp,0.048,8771,2297,Normal,0,Low
CYB-0000194,2026-05-23T18:18:53.555119,192.168.167.63,10.0.55.101,tcp,http,9.434,8712,2182,Normal,0,Low
CYB-0000195,2026-07-22T06:18:53.555119,192.168.193.248,10.0.109.55,udp,ssh,0.175,1055,6235,Normal,0,Low
CYB-0000196,2026-06-22T10:18:53.555119,192.168.182.189,10.0.55.83,icmp,ssh,3.955,8761,4361,Normal,0,Low
CYB-0000197,2026-07-04T10:18:53.555119,192.168.201.85,10.0.91.180,icmp,ftp,0.465,2566,8256,Normal,0,Low
CYB-0000198,2026-05-20T07:18:53.555119,192.168.11.139,10.0.108.53,tcp,dns,6.396,3885,1711,Normal,0,Low
CYB-0000199,2026-06-18T02:18:53.555119,192.168.130.19,10.0.9.177,icmp,dns,0.534,7617,3201,Exploits,1,High
CYB-0000200,2026-06-24T06:18:53.555119,192.168.1.210,10.0.175.77,tcp,dns,3.52,1880,9444,Normal,0,Low
CYB-0000201,2026-07-02T13:18:53.555119,192.168.193.47,10.0.43.77,icmp,ssh,7.571,1550,2507,Normal,0,Low
CYB-0000202,2026-06-05T01:18:53.555119,192.168.76.71,10.0.208.7,tcp,http,5.959,8017,4373,Normal,0,Low
CYB-0000203,2026-06-02T19:18:53.555119,192.168.249.114,10.0.75.155,tcp,http,9.238,1114,1930,Normal,0,Low
CYB-0000204,2026-08-20T02:18:53.555119,192.168.156.71,10.0.212.138,udp,dns,5.653,3676,159,Normal,0,Low
CYB-0000205,2026-06-10T09:18:53.555119,192.168.12.139,10.0.109.126,tcp,ssh,4.114,7417,2774,Normal,0,Low
CYB-0000206,2026-05-24T19:18:53.555119,192.168.153.216,10.0.161.42,icmp,http,6.207,8700,4499,Normal,0,Low
CYB-0000207,2026-05-28T03:18:53.555119,192.168.178.88,10.0.200.52,tcp,dns,6.732,9631,8118,Normal,0,Low
CYB-0000208,2026-07-26T10:18:53.555119,192.168.122.100,10.0.123.150,icmp,dns,9.809,8216,9168,Normal,0,Low
CYB-0000209,2026-07-12T12:18:53.555119,192.168.159.155,10.0.137.191,tcp,ftp,4.46,2777,6740,Generic,1,High
CYB-0000210,2026-08-01T14:18:53.555119,192.168.135.26,10.0.81.61,icmp,http,7.256,2754,684,Normal,0,Low
CYB-0000211,2026-08-15T21:18:53.555119,192.168.128.253,10.0.186.17,udp,dns,6.073,5471,2478,Normal,0,Low
